Model,N,R2,Adj_R2,F_Stat,F_PVal,AIC,BIC,Condition_Number,Durbin_Watson,BP_Stat,BP_PVal,JB_Stat,JB_PVal,Skewness,Kurtosis
PreTrend,426,0.7795349803840321,0.7597496581108043,2156.002424472431,0.0,2744.5416900285954,2890.5015064942927,1592.9728391777312,1.5885790260375108,78.74547155778325,3.2560552738553644e-05,236.1479136020727,5.261772960311232e-52,-0.16556334057382824,6.632418330754267
DiD,426,0.6560593487261823,0.6251928800221218,144.40264385738274,7.929581375210558e-197,2728.826844624127,2874.786661089824,1592.9728391777312,1.4196757823419646,50.59310207203972,0.042773886607793896,95.16701424644258,2.1614511604393087e-21,0.24466171712379567,5.263202268042605
ANCOVA,426,0.8311368158564656,0.8155093746503801,246.60824229508148,1.2033403029775168e-240,2619.27248839189,2769.286744203857,2307.2523268080986,1.3082589410647039,76.88281884312902,8.61811382546324e-05,48.261379520396765,3.312642677163907e-11,-0.27126108477831634,4.557119344955664
