pc91_state_id,pc91_district_id,state_clean,Turnout_1996,EVM_Exposure_1996,Turnout_1998,EVM_Exposure_1998,Turnout_1999,EVM_Exposure_1999,EVM_Exposure,Lit_Pct,SC_Pct,ST_Pct,Urban_Pct,Agency_IHS,Agency_Centered,Delta_PreTrend,Delta_DiD
2,1,andhra pradesh,63.46106041348736,0.0,66.02737096916943,0.0,67.9478447917809,0.0,0.0,30.122291640694055,9.331289171911877,5.782937837850663,10.680125117173327,1.7212732073144863,0.22354669057984267,2.5663105556820653,4.486784378293535
2,2,andhra pradesh,60.36963459472905,0.0,65.22217232134167,0.0,66.82451446465801,0.0,0.0,28.755933818351608,10.44290342847056,8.995630659785556,14.794781466557087,2.180887358958984,0.6831608422243405,4.852537726612624,6.454879869928959
2,3,andhra pradesh,61.695372415912566,0.0,66.37541601018762,0.0,68.36871359321518,0.0,0.0,38.43667838234694,7.823520562937321,14.266403728716734,34.26407114915781,2.360107510094294,0.8623809933596505,4.680043594275055,6.673341177302611
2,4,andhra pradesh,63.78593975128189,0.004864339196629961,67.31579511738562,0.005118090662252002,69.53441831413534,0.0053250494787088955,0.0053250494787088955,40.835396190865026,18.19095707560684,3.873393509095181,20.33756210869294,2.0116289864439967,0.513902469709353,3.5298553661037317,5.74847856285345
2,5,andhra pradesh,66.89413343999362,0.0,68.84881686246473,0.0,70.32769047109242,0.0,0.0,45.14271466087853,17.765549351333558,2.4202402544911985,18.0537019173593,1.6803876637900732,0.18266114705542957,1.9546834224711063,3.4335570310988004
2,6,andhra pradesh,64.73504942937946,0.0,64.74937318420459,0.0,67.1675353027892,0.0,0.0,45.02958095161366,16.579012894066857,2.480971701074366,30.712038094177274,2.0896754187684636,0.59194890203382,0.014323754825127821,2.432485873409746
2,7,andhra pradesh,57.48899107480231,0.0,57.71441738759903,0.0,63.850432271295496,0.0,0.0,39.453722779090036,13.961702936864606,4.421427908796667,24.813787390744434,1.8455287443259019,0.34780222759125823,0.22542631279672065,6.361441196493189
2,8,andhra pradesh,60.12765544971237,0.0,59.26628878209981,0.0,65.44924419378367,0.0,0.0,33.92503386892996,20.029240719840704,3.582749280036069,14.19798591313462,1.7871936353486673,0.28946711861402363,-0.8613666676125646,5.321588744071299
2,9,andhra pradesh,57.96148389269609,0.0,60.127745158169766,0.0,64.27824710763632,0.0,0.0,40.58129133120982,21.85460610468762,8.948107647162097,20.384364575756816,2.521858213820905,1.0241316970862613,2.166261265473679,6.316763214940231
2,10,andhra pradesh,62.46491801946663,0.0,61.65290093229011,0.0,68.17073119581501,0.0,0.0,42.41987462692428,18.384134218897266,3.2171337476437323,17.166330407634305,2.1177516081614174,0.6200250914267738,-0.8120170871765211,5.705813176348379
2,11,andhra pradesh,60.577589838889864,0.0,62.23672857719823,0.0,66.07971635769499,0.0,0.0,40.821133016634406,14.90182642059222,2.0907773234399096,20.44926092560574,2.13112748096016,0.6334009642255163,1.6591387383083642,5.502126518805127
2,12,andhra pradesh,52.07857093454853,0.0,51.68798389233121,0.0,61.65712966340479,0.0,0.0,35.03197737053735,14.190841550417204,3.4928862050358473,19.880338487110112,2.292681381520617,0.7949548647859732,-0.39058704221731944,9.578558728856258
2,13,andhra pradesh,59.04864600671209,0.0,60.72965114162319,0.0,62.991006310901135,0.0,0.0,32.52493084482332,17.42696998073342,1.8989083169190697,21.48142766422336,2.3267859593154077,0.829059442580764,1.6810051349110964,3.9423603041890445
2,14,andhra pradesh,60.59387947203032,0.0,62.54249402664585,0.0,65.80648925084908,0.0,0.0,23.894444354170393,17.6266229018053,7.39035764774703,9.243821192375815,2.9951409909904245,1.497414474255781,1.9486145546155242,5.212609778818759
2,15,andhra pradesh,56.98957968651474,0.8242171486022821,63.920165965577866,0.827114701853356,61.83449253587254,0.8305170016450149,0.8305170016450149,40.25853009013443,17.217549136626427,4.2866558567002855,100.0,2.19958037588199,0.7018538591473464,6.930586279063128,4.844912849357804
2,16,andhra pradesh,47.618017559309,1.0,51.35424547245046,1.0,51.87544764925934,1.0,1.0,60.08520826373302,8.860279871923773,0.9201068425039393,4.951558183423137,1.6658425601548768,0.16811604342023312,3.7362279131414553,4.25743008995034
2,17,andhra pradesh,57.030064168986996,0.03803992057492952,61.95726289621748,0.03882462737531526,65.55674758474233,0.03952536780103143,0.03952536780103143,26.516389109172618,17.87479073046083,4.18724116662261,11.919992950920786,2.8896444711240266,1.391917954389383,4.927198727230483,8.526683415755329
2,18,andhra pradesh,59.094999165163756,0.0,63.530640117918104,0.0,67.83631852490363,0.0,0.0,28.37546158919373,15.12174553203284,5.927802879667862,16.74474080728596,3.783957401329277,2.2862308845946333,4.435640952754348,8.741319359739876
2,19,andhra pradesh,56.25986822940499,0.0,64.30991770965636,0.0,67.04476567488287,0.0,0.0,26.79917135258505,18.519817489733317,17.07435118793323,18.89805866346446,1.8820499186406758,0.3843234019060322,8.050049480251374,10.784897445477881
