Model,Variable,Coefficient,Std_Error,P_Value,CI_Lower,CI_Upper,N,R2,Adj_R2,F_Stat,F_PVal,AIC,BIC
DiD_Treatment,Intercept,9.526846968362713,1.9220687169441935,7.175259111364856e-07,5.759661507340983,13.294032429384444,426,0.6560593487261823,0.6251928800221218,144.40264385738274,7.929581375210558e-197,2728.826844624127,2874.786661089824
DiD_Treatment,C(state_clean)[T.arunachal pradesh],16.663057172444226,3.8269122098471,1.3356711263251373e-05,9.162447069147321,24.163667275741133,426,0.6560593487261823,0.6251928800221218,144.40264385738274,7.929581375210558e-197,2728.826844624127,2874.786661089824
DiD_Treatment,C(state_clean)[T.assam],-11.172577344376688,1.2949166613274836,6.2418744813384884e-18,-13.710567363559406,-8.63458732519397,426,0.6560593487261823,0.6251928800221218,144.40264385738274,7.929581375210558e-197,2728.826844624127,2874.786661089824
DiD_Treatment,C(state_clean)[T.bihar],-4.164500200978799,1.5366976519030104,0.006727666552737964,-7.176372253835968,-1.15262814812163,426,0.6560593487261823,0.6251928800221218,144.40264385738274,7.929581375210558e-197,2728.826844624127,2874.786661089824
DiD_Treatment,C(state_clean)[T.chandigarh],-13.215807196602947,1.791784890320208,1.6338833704417193e-13,-16.727641049673608,-9.703973343532288,426,0.6560593487261823,0.6251928800221218,144.40264385738274,7.929581375210558e-197,2728.826844624127,2874.786661089824
DiD_Treatment,C(state_clean)[T.dadra nagar haveli],2.701483928100226,2.204797225284615,0.22047145231788445,-1.6198392266714632,7.022807082871916,426,0.6560593487261823,0.6251928800221218,144.40264385738274,7.929581375210558e-197,2728.826844624127,2874.786661089824
DiD_Treatment,C(state_clean)[T.daman diu],4.386147667968352,3.2518544022633145,0.17739662543970647,-1.9873698434357694,10.759665179372472,426,0.6560593487261823,0.6251928800221218,144.40264385738274,7.929581375210558e-197,2728.826844624127,2874.786661089824
DiD_Treatment,C(state_clean)[T.goa],-8.91427792321378,2.337683390875,0.00013712590722838452,-13.49605317658625,-4.332502669841309,426,0.6560593487261823,0.6251928800221218,144.40264385738274,7.929581375210558e-197,2728.826844624127,2874.786661089824
DiD_Treatment,C(state_clean)[T.gujarat],6.490656789089486,1.808434852944007,0.0003318192546330056,2.946189608932243,10.03512396924673,426,0.6560593487261823,0.6251928800221218,144.40264385738274,7.929581375210558e-197,2728.826844624127,2874.786661089824
DiD_Treatment,C(state_clean)[T.haryana],-16.38839113119994,1.6000662195699038,1.2812577575942128e-24,-19.52446329443611,-13.252318967963769,426,0.6560593487261823,0.6251928800221218,144.40264385738274,7.929581375210558e-197,2728.826844624127,2874.786661089824
