ac08_id,pc91_td_area,pc91_td_res_house,pc91_td_p_7andup,pc91_td_p_lit_7andup,pc91_td_tot_work_p,pc91_td_mainwork_p,pc91_td_margwork_p,pc91_td_non_work_p,pc91_td_workers_non_per1000,pc91_td_p_sc,pc91_td_p_st,pc91_td_avg_rain,pc91_td_max_temp,pc91_td_min_temp,pc91_td_sh_dist,pc91_td_dh_dist,pc91_td_sd_dist,pc91_td_rail_dist,pc91_td_tap,pc91_td_well,pc91_td_tank,pc91_td_tube_well,pc91_td_stor_cap_tank,pc91_td_stor_cap_res,pc91_td_stor_cap_rivergal,pc91_td_stor_cap_wellpump,pc91_td_stor_cap_pressuretank,pc91_td_el_dom,pc91_td_el_ind,pc91_td_el_com,pc91_td_el_road_l,pc91_td_el_others,pc91_td_p_road,pc91_td_k_road,pc91_td_tot_road,pc91_td_dist_f_ser,pc91_td_sewage_sewer,pc91_td_sewage_opendrain,pc91_td_sewage_boxdrain,pc91_td_sewage_sylkdrain,pc91_td_sewage_cess,pc91_td_sewage_pit,pc91_td_sewage_other,pc91_td_water_bor,pc91_td_service,pc91_td_lat_oth,pc91_td_nsoil_head,pc91_td_nsoil_basket,pc91_td_nsoil_wb,pc91_td_nsoil_septic,pc91_td_nsoil_sewerage,pc91_td_nsoil_pit,pc91_td_nsoil_other,pc91_td_hospitals,pc91_td_disp,pc91_td_health_ctr,pc91_td_f_w_ctr,pc91_td_nur_homes,pc91_td_med_oth,pc91_td_tot_beds,pc91_td_primary,pc91_td_middle,pc91_td_secondary,pc91_td_s_sec,pc91_td_vt_inst,pc91_td_polytech,pc91_td_arts,pc91_td_science,pc91_td_commerce,pc91_td_medical,pc91_td_engg,pc91_td_law,pc91_td_adult_cnt,pc91_td_n_hostels,pc91_td_n_seats,pc91_td_stadium,pc91_td_cinema,pc91_td_auditorium,pc91_td_p_lib,pc91_td_r_rooms,pc91_td_banks,pc91_td_a_c_soc,pc91_td_n_a_c_soc,pc91_td_inc_8889,pc91_td_exp_8889,pc91_td_joint_muni,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share,_frag_pop_share
2008-02-010,3.27,760.0,2859.0,2396.0,898.0,898.0,0.0,2480.0,2762.0,1097.0,7.0,1113.5,,,231.0,58.0,0.0,24.0,3.0,0.0,0.0,3.0,0.0,136380.0,0.0,0.0,0.0,861.0,12.0,251.0,125.0,8.0,8.05,0.77,8.82,55.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,308.0,204.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.0,5.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,1288900.0,942800.0,,0.0,0.0,1.0,1.0,0.0
2008-02-019,0.66,801.0,3178.0,2700.0,1323.0,1314.0,9.0,2315.0,1762.0,567.0,0.0,1577.8,28.0,4.0,256.0,40.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,204750.0,0.0,0.0,0.0,1050.0,21.0,700.0,140.0,0.0,7.7,1.5,9.2,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,300.0,200.0,12.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,150.0,5.0,4.0,5.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,7.0,0.0,2.0,1325100.0,1227800.0,,0.0,0.0,1.0,1.0,0.0
2008-02-024,2.25,310.0,896.0,810.0,402.0,402.0,0.0,635.0,1580.0,208.0,31.0,,,,215.0,55.0,0.0,99.0,3.0,0.0,0.0,0.0,0.0,22727.0,0.0,0.0,0.0,416.0,6.0,162.0,0.0,0.0,1.5,0.0,1.5,53.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,25000.0,25000.0,,0.0,0.0,1.0,1.0,0.0
2008-02-032,2.95,695.0,2653.0,2143.0,1317.0,932.0,385.0,1776.0,1906.0,767.0,13.0,615.3,,,188.0,64.0,0.0,60.0,3.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,657.0,15.0,175.0,62.0,0.0,3.0,2.0,5.0,55.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,325.0,200.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,259500.0,259500.0,,0.0,0.0,1.0,1.0,0.0
2008-02-035,3.97,290.0,898.0,678.0,423.0,295.0,128.0,622.0,2108.0,225.0,1.0,,,,150.0,24.0,24.0,80.0,3.0,0.0,0.0,0.0,0.0,33200.0,0.0,0.0,0.0,254.0,17.0,136.0,3.0,0.0,2.82,0.5,3.32,24.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,10000.0,10000.0,,0.0,0.0,1.0,1.0,0.0
2008-02-039,3.4,249.0,1094.0,900.0,528.0,526.0,2.0,758.0,1441.0,425.0,0.0,1248.2,,,154.0,16.0,18.0,70.0,3.0,0.0,0.0,0.0,0.0,127000.0,0.0,0.0,0.0,250.0,4.0,132.0,20.0,0.0,3.0,1.0,4.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,112400.0,35300.0,,0.0,0.0,1.0,1.0,0.0
2008-02-046,2.89,339.0,1381.0,1016.0,874.0,605.0,269.0,676.0,1117.0,408.0,98.0,,,,145.0,60.0,35.0,10.0,3.0,3.0,0.0,0.0,0.0,180000.0,0.0,0.0,0.0,165.0,7.0,205.0,27.0,0.0,3.0,1.0,4.0,60.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,28.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,242500.0,130200.0,,0.0,0.0,1.0,1.0,0.0
2008-02-049,0.82,200.0,779.0,659.0,337.0,310.0,27.0,531.0,1713.0,102.0,18.0,,,,146.0,72.0,30.0,20.0,3.0,0.0,0.0,0.0,0.0,310000.0,0.0,0.0,0.0,220.0,4.0,175.0,122.0,0.0,1.6,0.0,1.6,30.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,22.0,0.0,132.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1265600.0,679400.0,,0.0,0.0,1.0,1.0,0.0
2008-02-050,1.45,498.0,1719.0,1469.0,795.0,614.0,181.0,1181.0,1923.0,416.0,0.0,1189.6,,,45.0,55.0,0.0,37.0,3.0,0.0,0.0,0.0,0.0,45430.0,0.0,0.0,0.0,635.0,4.0,127.0,152.0,0.0,4.47,2.5,6.97,35.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,385400.0,227000.0,,0.0,0.0,1.0,1.0,0.0
2008-02-062,0.7,668.0,1998.0,1576.0,1035.0,1035.0,0.0,1312.0,1268.0,438.0,27.0,1024.5,17.4,3.3,10.0,10.0,10.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603.0,12.0,285.0,78.0,1.0,2.05,0.0,2.05,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,58.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1639600.0,1639600.0,,0.0,0.0,1.0,1.0,0.0
