pc91_state_id,pc91_district_id,Urban_Pct
2,1,10.680125117173327
2,2,14.794781466557087
2,3,34.26407114915781
2,4,20.33756210869294
2,5,18.0537019173593
2,6,30.712038094177274
2,7,24.813787390744434
2,8,14.19798591313462
2,9,20.384364575756816
2,10,17.166330407634305
2,11,20.44926092560574
2,12,19.880338487110112
2,13,21.48142766422336
2,14,9.243821192375815
2,15,100.0
2,17,11.919992950920786
2,18,16.74474080728596
2,19,18.89805866346446
2,20,16.98427581230004
2,21,16.37571873740613
2,22,17.103008427170394
2,23,9.999992987603486
3,2,11.274107013388758
3,4,30.599658330839986
3,6,30.88252083571184
3,7,12.149373262547295
3,8,26.647286821705425
3,9,17.34909667657193
3,11,7.096412031622772
4,1,11.03096111328293
4,2,5.4496358624583
4,3,7.907019366631044
4,4,6.39335501823957
4,5,5.975207464462757
4,6,1.95417113509578
4,7,28.476039100611928
4,8,4.172120166915603
4,9,6.347597078397822
4,10,5.488232468460461
4,11,1.5631852640811978
4,12,4.228038306533559
4,13,9.29937126651528
4,14,5.130806090115156
4,15,13.312810058700238
4,16,6.22742936817099
4,17,15.28676962215228
4,18,14.231659660164675
4,19,8.662140894461185
4,20,19.234620460076524
4,21,6.439775446368657
4,22,6.5380538383424485
4,23,8.540174512603002
5,1,31.613910852628553
5,2,11.932562393799785
5,3,9.170139217975544
5,4,8.157659311507453
5,5,6.1362166458439935
5,6,5.183079411013703
5,7,10.93409156324126
5,8,5.613983734575574
5,9,7.376932584007649
5,10,4.296510639709144
5,11,4.532274058123228
5,12,8.18176208591975
5,13,4.6320136204959415
5,14,4.55200617187157
5,15,7.7910479795714345
5,16,5.384179882715575
5,17,7.950581147063572
5,18,4.063816168917186
5,19,7.201153025596993
5,20,2.951634590667311
5,21,5.675175153741798
5,22,5.291643245427976
5,23,6.874822035409299
5,24,7.72299466412473
5,25,4.835969842802111
5,26,13.537625648401141
5,27,9.923805711277323
5,28,2.2694389803781316
5,29,5.975691113898521
5,30,5.016818111009561
5,31,11.132842431731206
