State/UT,Constituency,Electors_Male,Electors_Female,Electors_Total,Voted_Male,Voted_Female,Voted_Total
BIHAR CODE : S04,Sitamarhi NO : 11,595338,531651,1126989,438661,317355,756016
BIHAR CODE : S04,Sheohar NO : 12,576044,507079,1083123,450511,276048,726559
BIHAR CODE : S04,Madhubani NO : 13,586638,514451,1101089,407905,309407,717312
BIHAR CODE : S04,Jhanjharpur NO : 14,547183,506760,1053943,374042,310105,684147
BIHAR CODE : S04,Darbhanga NO : 15,557779,485609,1043388,475026,291142,766168
BIHAR CODE : S04,Rosera NO : 16,568092,509175,1077267,417178,316973,734151
BIHAR CODE : S04,Samastipur NO : 17,649300,569810,1219110,452194,348827,801021
BIHAR CODE : S04,Barh NO : 18,577405,503948,1081353,455798,303865,759663
BIHAR CODE : S04,Balia NO : 19,527228,469351,996579,293636,212614,506250
BIHAR CODE : S04,Saharsa NO : 20,600444,541659,1142103,416392,315661,732053
BIHAR CODE : S04,Madhepura NO : 21,520042,477168,997210,386547,274359,660906
BIHAR CODE : S04,Araria NO : 22,561966,481104,1043070,394686,254289,648975
BIHAR CODE : S04,Kishanganj NO : 23,591395,538035,1129430,425483,302356,727839
BIHAR CODE : S04,Purnea NO : 24,572251,513105,1085356,417564,284989,702553
BIHAR CODE : S04,Katihar NO : 25,546214,493286,1039500,371757,275462,647219
BIHAR CODE : S04,Rajmahal NO : 26,489634,460959,950593,332969,236375,569344
BIHAR CODE : S04,Dumka NO : 27,490264,461016,951280,341472,212765,554237
BIHAR CODE : S04,Godda NO : 28,565254,522319,1087573,333843,308163,642006
BIHAR CODE : S04,Banka NO : 29,561998,502051,1064049,395032,240924,635956
BIHAR CODE : S04,Bhagalpur NO : 30,657804,575029,1232833,438316,241005,679321
BIHAR CODE : S04,Khagaria NO : 31,555839,488592,1044431,401028,271095,672123
BIHAR CODE : S04,Monghyr NO : 32,617516,530147,1147663,417169,295026,712195
BIHAR CODE : S04,Begusarai NO : 33,579234,531654,1110888,391228,250120,641348
BIHAR CODE : S04,Nalanda NO : 34,626177,553831,1180008,492035,386576,878611
BIHAR CODE : S04,Patna NO : 35,822778,647594,1470372,487395,324912,812307
BIHAR CODE : S04,Arrah NO : 36,600955,520870,1121825,449553,239919,689472
BIHAR CODE : S04,Buxar NO : 37,561204,468215,1029419,396258,213156,609414
BIHAR CODE : S04,Sasaram NO : 38,615927,528397,1144324,417229,245040,662269
BIHAR CODE : S04,Bikramganj NO : 39,616179,512559,1128738,415354,327160,742514
BIHAR CODE : S04,Aurangabad NO : 40,578915,512557,1091472,376424,307501,683925
BIHAR CODE : S04,Jahanabad NO : 41,563855,541347,1105202,435075,351032,786107
BIHAR CODE : S04,Nawada NO : 42,600016,573973,1173989,449415,409856,859271
BIHAR CODE : S04,Gaya NO : 43,557436,499094,1056530,362876,285109,647985
BIHAR CODE : S04,Chatra NO : 44,532447,482737,1015184,238696,187545,426241
BIHAR CODE : S04,Kodarma NO : 45,591828,545720,1137548,394675,207882,602557
BIHAR CODE : S04,Giridih NO : 46,607369,508048,1115417,319237,221264,540501
BIHAR CODE : S04,Dhanbad NO : 47,813326,620319,1433645,482371,288673,771044
BIHAR CODE : S04,Hazaribagh NO : 48,644686,569049,1213735,387153,213157,600310
BIHAR CODE : S04,Ranchi NO : 49,602101,529659,1131760,315222,268523,583745
BIHAR CODE : S04,Jamshedpur NO : 50,611575,548987,1160562,392465,242786,635251
BIHAR CODE : S04,Singhbhum NO : 51,425836,420793,846629,296887,185431,482318
BIHAR CODE : S04,Khunti NO : 52,422537,409631,832168,243133,168957,412090
BIHAR CODE : S04,Lohardaga NO : 53,477816,460842,938658,246254,123621,369875
BIHAR CODE : S04,Palamu NO : 54,574819,505334,1080153,310000,206668,516668
GOA CODE : S05,Panaji NO : 1,209602,204039,413641,107766,83327,191093
GOA CODE : S05,Mormugao NO : 2,252577,242631,495208,121570,97281,218851
GUJARAT CODE : S06,Kutch NO : 1,438920,434017,872937,217306,176280,393586
GUJARAT CODE : S06,Surendranagar NO : 2,503190,467354,970544,282582,196305,478887
GUJARAT CODE : S06,Jamnagar NO : 3,492233,466185,958418,218052,143530,361582
GUJARAT CODE : S06,Rajkot NO : 4,714993,664921,1379914,334859,223710,558569
GUJARAT CODE : S06,Porbandar NO : 5,458863,435436,894299,203110,128884,331994
GUJARAT CODE : S06,Junagadh NO : 6,555579,523989,1079568,295886,207742,503628
GUJARAT CODE : S06,Amreli NO : 7,449977,424544,874521,247860,168738,416598
GUJARAT CODE : S06,Bhavnagar NO : 8,535329,488592,1023921,272256,173021,445277
GUJARAT CODE : S06,Dhandhuka NO : 9,530204,499673,1029877,280021,192877,472898
GUJARAT CODE : S06,Ahmedabad NO : 10,707530,612635,1320165,311859,215885,527744
GUJARAT CODE : S06,Gandhinagar NO : 11,964384,869460,1833844,431857,309426,741283
GUJARAT CODE : S06,Mehsana NO : 12,552417,552022,1104439,352774,283799,636573
GUJARAT CODE : S06,Patan NO : 13,500145,503684,1003829,278065,207983,486048
GUJARAT CODE : S06,Banaskantha NO : 14,562611,544155,1106766,354703,248471,603174
GUJARAT CODE : S06,Sabarkantha NO : 15,557679,562176,1119855,370032,302817,672849
GUJARAT CODE : S06,Kapadvanj NO : 16,571379,552822,1124201,383913,290963,674876
GUJARAT CODE : S06,Dohad NO : 17,522805,506174,1028979,275782,202105,477887
GUJARAT CODE : S06,Godhra NO : 18,531157,489105,1020262,288651,194594,483245
GUJARAT CODE : S06,Kaira NO : 19,542573,512208,1054781,303910,190870,494780
GUJARAT CODE : S06,Anand NO : 20,541413,505859,1047272,330831,229742,560573
GUJARAT CODE : S06,Chhota Udaipur NO : 21,489888,472637,962525,295535,229970,525505
GUJARAT CODE : S06,Baroda NO : 22,750125,688839,1438964,349579,247211,596790
GUJARAT CODE : S06,Broach NO : 23,563241,533531,1096772,332156,259305,591461
GUJARAT CODE : S06,Surat NO : 24,1072449,878509,1950958,383589,245745,629334
GUJARAT CODE : S06,Mandvi NO : 25,531537,532167,1063704,329625,287335,616960
GUJARAT CODE : S06,Bulsar NO : 26,583739,567348,1151087,327350,269160,596510
HARYANA CODE : S07,Ambala NO : 1,593849,497997,1091846,396673,302181,698854
HARYANA CODE : S07,Kurukshetra NO : 2,585282,487865,1073147,415950,314616,730566
HARYANA CODE : S07,Karnal NO : 3,618002,513446,1131448,446293,324901,771194
HARYANA CODE : S07,Sonepat NO : 4,586055,471120,1057175,400988,258547,659535
HARYANA CODE : S07,Rohtak NO : 5,512310,426568,938878,369016,265219,634235
HARYANA CODE : S07,Faridabad NO : 6,734116,596041,1330157,465400,289603,755003
HARYANA CODE : S07,Mahendragarh NO : 7,657279,579639,1236918,429752,322902,752654
HARYANA CODE : S07,Bhiwani NO : 8,570406,483197,1053603,423673,316674,740347
HARYANA CODE : S07,Hissar NO : 9,563250,462094,1025344,381117,265396,646513
HARYANA CODE : S07,Sirsa NO : 10,594831,505608,1100439,373944,267119,641063
HIMACHAL PRADES CODE : S08,Simla NO : 1,504051,441012,945063,290215,214273,504488
HIMACHAL PRADES CODE : S08,Mandi NO : 2,494586,474240,968826,287117,241520,528637
HIMACHAL PRADES CODE : S08,Kangra NO : 3,457887,477203,935090,281751,275267,557018
HIMACHAL PRADES CODE : S08,Hamirpur NO : 4,458394,479106,937500,273781,285892,559673
JAMMU & KASHMIR CODE : S09,Baramulla NO : 1,428919,334720,763639,132498,79682,212180
JAMMU & KASHMIR CODE : S09,Srinagar NO : 2,456755,397326,854081,73142,28791,101933
JAMMU & KASHMIR CODE : S09,Anantnag NO : 3,443636,361275,804911,73114,42129,115243
JAMMU & KASHMIR CODE : S09,Ladakh NO : 4,72299,71420,143719,60532,57139,117671
JAMMU & KASHMIR CODE : S09,Udhampur NO : 5,545753,471199,1016952,220870,182340,403210
JAMMU & KASHMIR CODE : S09,Jammu NO : 6,778099,668693,1446792,408748,267960,676708
KARNATAKA CODE : S10,Bidar NO : 1,613698,586900,1200598,406979,354481,761460
KARNATAKA CODE : S10,Gulbarga NO : 2,641561,639002,1280563,410401,363345,773746
KARNATAKA CODE : S10,Raichur NO : 3,610934,615170,1226104,390558,332424,722982
