shrid2,pc91_td_area,pc91_td_res_house,pc91_td_p_7andup,pc91_td_p_lit_7andup,pc91_td_tot_work_p,pc91_td_mainwork_p,pc91_td_margwork_p,pc91_td_non_work_p,pc91_td_workers_non_per1000,pc91_td_p_sc,pc91_td_p_st,pc91_td_avg_rain,pc91_td_max_temp,pc91_td_min_temp,pc91_td_sh_dist,pc91_td_dh_dist,pc91_td_sd_dist,pc91_td_rail_dist,pc91_td_tap,pc91_td_well,pc91_td_tank,pc91_td_tube_well,pc91_td_stor_cap_tank,pc91_td_stor_cap_res,pc91_td_stor_cap_rivergal,pc91_td_stor_cap_wellpump,pc91_td_stor_cap_pressuretank,pc91_td_el_dom,pc91_td_el_ind,pc91_td_el_com,pc91_td_el_road_l,pc91_td_el_others,pc91_td_p_road,pc91_td_k_road,pc91_td_tot_road,pc91_td_dist_f_ser,pc91_td_sewage_sewer,pc91_td_sewage_opendrain,pc91_td_sewage_boxdrain,pc91_td_sewage_sylkdrain,pc91_td_sewage_cess,pc91_td_sewage_pit,pc91_td_sewage_other,pc91_td_water_bor,pc91_td_service,pc91_td_lat_oth,pc91_td_nsoil_head,pc91_td_nsoil_basket,pc91_td_nsoil_wb,pc91_td_nsoil_septic,pc91_td_nsoil_sewerage,pc91_td_nsoil_pit,pc91_td_nsoil_other,pc91_td_hospitals,pc91_td_disp,pc91_td_health_ctr,pc91_td_f_w_ctr,pc91_td_nur_homes,pc91_td_med_oth,pc91_td_tot_beds,pc91_td_primary,pc91_td_middle,pc91_td_secondary,pc91_td_s_sec,pc91_td_vt_inst,pc91_td_polytech,pc91_td_arts,pc91_td_science,pc91_td_commerce,pc91_td_medical,pc91_td_engg,pc91_td_law,pc91_td_adult_cnt,pc91_td_n_hostels,pc91_td_n_seats,pc91_td_stadium,pc91_td_cinema,pc91_td_auditorium,pc91_td_p_lib,pc91_td_r_rooms,pc91_td_banks,pc91_td_a_c_soc,pc91_td_n_a_c_soc,pc91_td_inc_8889,pc91_td_exp_8889,pc91_td_joint_muni,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share
11-08-102-00481-800464,6.25,3075.0,16757.0,7877.0,5491.0,5085.0,406.0,15986.0,3144.0,2942.0,75.0,361.2,,,300.0,70.0,0.0,35.0,0.0,3.0,0.0,0.0,1900000.0,0.0,0.0,0.0,0.0,1755.0,47.0,627.0,380.0,2.0,5.75,2.0,7.75,110.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,1200.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,32.0,13.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1215800.0,1141000.0,,0.0,0.0,1.0,1.0
11-08-102-00482-800465,12.8,6114.0,33955.0,19001.0,10996.0,10746.0,250.0,32700.0,3043.0,7062.0,739.0,396.0,,,278.0,58.0,0.0,5.0,0.0,3.0,0.0,3.0,1100000.0,0.0,0.0,0.0,0.0,2456.0,109.0,728.0,1000.0,249.0,15.0,5.0,20.0,36.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,553.0,323.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,130.0,13.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,8.0,2.0,0.0,4077700.0,4148000.0,,0.0,0.0,1.0,1.0
11-08-102-00483-800466,16.2,9624.0,54851.0,31405.0,16812.0,16523.0,289.0,51142.0,3095.0,4645.0,775.0,372.0,,,240.0,65.0,0.0,0.0,0.0,3.0,0.0,3.0,912000.0,0.0,0.0,0.0,0.0,6028.0,211.0,1104.0,2000.0,38.0,22.0,0.0,22.0,136.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4441.0,7.0,6034.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,50.0,15.0,7.0,3.0,7.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,2.0,1.0,1.0,1.0,8.0,0.0,0.0,3028800.0,2620900.0,,0.0,0.0,1.0,1.0
11-08-102-00484-800467,5.0,1287.0,7407.0,3582.0,2264.0,2208.0,56.0,7082.0,3207.0,1055.0,213.0,200.0,47.0,2.0,192.0,10.0,10.0,10.0,0.0,0.0,0.0,3.0,250000.0,0.0,0.0,0.0,0.0,272.0,88.0,131.0,205.0,2.0,1.0,0.5,1.5,191.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,200.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,10.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,180400.0,185300.0,,0.0,0.0,1.0,1.0
11-08-102-00484-800468,28.8,11622.0,65838.0,36305.0,19970.0,19333.0,637.0,62882.0,3253.0,8261.0,266.0,373.6,46.7,0.9,198.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,,,0.0,0.0,0.0,7505.0,247.0,1502.0,6.0,22.0,38.0,6.0,44.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,4772.0,1509.0,2883.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,15.0,0.0,1.0,0.0,2.0,207.0,33.0,13.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,7.0,1.0,1.0,9399000.0,9145500.0,,0.0,0.0,1.0,1.0
11-08-102-00485-800469,50.2,8067.0,43731.0,24969.0,13142.0,12663.0,479.0,41937.0,3312.0,7333.0,126.0,308.6,,,210.0,48.0,0.0,0.0,0.0,0.0,0.0,3.0,922500.0,0.0,0.0,0.0,0.0,4678.0,114.0,1044.0,1424.0,54.0,22.0,3.0,25.0,140.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1681.0,4708.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,9.0,0.0,1.0,0.0,1.0,146.0,15.0,7.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,6.0,0.0,6.0,2831100.0,3019700.0,,0.0,0.0,1.0,1.0
11-08-102-00485-800470,5.0,2980.0,15440.0,6546.0,5621.0,4707.0,914.0,13917.0,2957.0,3971.0,52.0,,,,261.0,61.0,18.0,0.0,0.0,0.0,0.0,3.0,454000.0,0.0,0.0,0.0,0.0,1509.0,39.0,178.0,400.0,25.0,4.0,0.0,4.0,121.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,716.0,442.0,2290.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,6.0,18.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1527800.0,1408000.0,,0.0,0.0,1.0,1.0
11-08-102-00486-800471,9.0,3304.0,18104.0,7487.0,7083.0,6175.0,908.0,16173.0,2619.0,4611.0,1.0,300.0,46.0,0.0,225.0,100.0,25.0,25.0,0.0,0.0,3.0,3.0,567550.0,0.0,0.0,0.0,0.0,1406.0,46.0,240.0,400.0,1.0,0.0,1.0,1.0,115.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1028.0,0.0,2836.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,1.0,0.0,1.0,20.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,6.0,854900.0,888300.0,,0.0,0.0,1.0,1.0
11-08-102-00486-800472,10.0,2276.0,12463.0,6182.0,4233.0,3819.0,414.0,11302.0,2959.0,3647.0,72.0,,47.6,1.3,210.0,90.0,13.0,0.0,3.0,3.0,0.0,0.0,454000.0,0.0,0.0,0.0,0.0,1168.0,30.0,130.0,450.0,2.0,9.0,4.0,13.0,98.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,250.0,0.0,300.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,0.0,1.0,0.0,0.0,8.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,753600.0,771700.0,,0.0,0.0,1.0,1.0
11-08-102-00486-800473,5.18,10077.0,55969.0,31352.0,18291.0,17769.0,522.0,52552.0,2958.0,9337.0,38.0,361.0,,,200.0,100.0,0.0,10.0,0.0,0.0,0.0,3.0,30000.0,0.0,0.0,0.0,0.0,5962.0,164.0,1064.0,2405.0,18.0,25.0,5.0,30.0,160.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,885.0,3058.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,3.0,1.0,96.0,27.0,6.0,1.0,4.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,7.0,0.0,0.0,3926800.0,3848800.0,,0.0,0.0,1.0,1.0
