State/UT,Constituency,Electors_Male,Electors_Female,Electors_Total,Voted_Male,Voted_Female,Voted_Total
ANDHRA PRADESH CODE : S01,Srikakulam NO : 1,472360,507263,979623,336092,337107,673199
ANDHRA PRADESH CODE : S01,Parvathipuram (ST) NO : 2,439614,472132,911746,311144,293831,604975
ANDHRA PRADESH CODE : S01,Bobbili NO : 3,459592,480447,940039,350362,342906,693268
ANDHRA PRADESH CODE : S01,Visakhapatnam NO : 4,702730,688866,1391596,475586,428963,904549
ANDHRA PRADESH CODE : S01,Bhadrachalam (ST) NO : 5,539261,553876,1093137,374368,317729,692097
ANDHRA PRADESH CODE : S01,Anakapalli NO : 6,500986,523815,1024801,373446,370136,743582
ANDHRA PRADESH CODE : S01,Kakinada NO : 7,574907,584737,1159644,420136,395106,815242
ANDHRA PRADESH CODE : S01,Rajahmundry NO : 8,556440,564601,1121041,411807,378707,790514
ANDHRA PRADESH CODE : S01,Amalapuram (SC) NO : 9,445097,452265,897362,350236,315941,666177
ANDHRA PRADESH CODE : S01,Narasapur NO : 10,501499,510978,1012477,383415,351830,735245
ANDHRA PRADESH CODE : S01,Eluru NO : 11,551329,558195,1109524,425696,393616,819312
ANDHRA PRADESH CODE : S01,Machilipatnam NO : 12,493775,499763,993538,365151,335044,700195
ANDHRA PRADESH CODE : S01,Vijayawada NO : 13,676089,669153,1345242,482801,427820,910621
ANDHRA PRADESH CODE : S01,Tenali NO : 14,479795,480708,960503,336003,296748,632751
ANDHRA PRADESH CODE : S01,Guntur NO : 15,629214,635479,1264693,405992,354892,760884
ANDHRA PRADESH CODE : S01,Bapatla NO : 16,529117,540066,1069183,357299,320482,677781
ANDHRA PRADESH CODE : S01,Narasaraopet NO : 17,629902,626091,1255993,401702,356359,758061
ANDHRA PRADESH CODE : S01,Ongole NO : 18,588749,590541,1179290,380616,364937,745553
ANDHRA PRADESH CODE : S01,Nellore (SC) NO : 19,578568,587733,1166301,399879,353038,752917
ANDHRA PRADESH CODE : S01,Tirupathi (SC) NO : 20,588815,599086,1187901,408747,351140,759887
ANDHRA PRADESH CODE : S01,Chittoor NO : 21,559456,563882,1123338,416699,368985,785684
ANDHRA PRADESH CODE : S01,Rajampet NO : 22,477223,479405,956628,336177,279084,615261
ANDHRA PRADESH CODE : S01,Cuddapah NO : 23,552047,555427,1107474,392317,358405,750722
ANDHRA PRADESH CODE : S01,Hindupur NO : 24,584331,568566,1152897,380138,291145,671283
ANDHRA PRADESH CODE : S01,Anantapur NO : 25,612053,600972,1213025,384650,303476,688126
ANDHRA PRADESH CODE : S01,Kurnool NO : 26,565034,572383,1137417,409690,356882,766572
ANDHRA PRADESH CODE : S01,Nandyal NO : 27,551488,551306,1102794,385256,326791,712047
ANDHRA PRADESH CODE : S01,Nagarkurnool (SC) NO : 28,592741,594551,1187292,396976,387527,784503
ANDHRA PRADESH CODE : S01,Mahabubnagar NO : 29,607850,623511,1231361,384693,376379,761072
ANDHRA PRADESH CODE : S01,Hyderabad NO : 30,767275,739860,1507135,585146,517503,1102649
ANDHRA PRADESH CODE : S01,Secunderabad NO : 31,877842,816128,1693970,492756,413943,906699
ANDHRA PRADESH CODE : S01,Siddipet (SC) NO : 32,799410,769148,1568558,534443,469784,1004227
ANDHRA PRADESH CODE : S01,Medak NO : 33,609394,611991,1221385,417973,385511,803484
ANDHRA PRADESH CODE : S01,Nizamabad NO : 34,546865,589313,1136178,368951,376587,745538
ANDHRA PRADESH CODE : S01,Adilabad NO : 35,534148,544640,1078788,387217,365618,752835
ANDHRA PRADESH CODE : S01,Peddapalli (SC) NO : 36,660489,647341,1307830,448386,383534,831920
ANDHRA PRADESH CODE : S01,Karimnagar NO : 37,616055,631964,1248019,400734,383569,784303
ANDHRA PRADESH CODE : S01,Hanamkonda NO : 38,565767,550771,1116538,339545,290942,630487
ANDHRA PRADESH CODE : S01,Warangal NO : 39,566363,560370,1126733,417865,375749,793614
ANDHRA PRADESH CODE : S01,Khammam NO : 40,617464,611495,1228959,482243,435126,917369
ANDHRA PRADESH CODE : S01,Nalgonda NO : 41,715608,679927,1395535,491054,419631,910685
ANDHRA PRADESH CODE : S01,Miryalguda NO : 42,616125,611522,1227647,436798,432961,869759
ARUNACHAL PRADE CODE : S02,Arunachal West NO : 1,166782,157328,324110,102918,93728,196646
ARUNACHAL PRADE CODE : S02,Arunachal East NO : 2,131325,110186,241511,77038,61021,138059
ASSAM CODE : S03,Karimganj (SC) NO : 1,488036,454713,942749,380246,366279,746525
ASSAM CODE : S03,Silchar NO : 2,416641,409966,826607,326470,323907,650377
ASSAM CODE : S03,Autonomous District NO : 3,277853,257494,535347,220844,184811,405655
ASSAM CODE : S03,Dhubri NO : 4,534816,514841,1049657,398392,374690,773082
ASSAM CODE : S03,Kokrajhar (ST) NO : 5,603066,566726,1169792,427067,359005,786072
ASSAM CODE : S03,Barpeta NO : 6,533864,488691,1022555,341908,282825,624733
ASSAM CODE : S03,Gauhati NO : 7,704786,647667,1352453,331682,260854,592536
ASSAM CODE : S03,Mangaldoi NO : 8,614475,563627,1178102,381955,323794,705749
ASSAM CODE : S03,Tezpur NO : 9,505396,465537,970933,362939,311349,674288
ASSAM CODE : S03,Nowgong NO : 10,606052,507072,1113124,357246,304202,661448
ASSAM CODE : S03,Kaliabor NO : 11,587317,523082,1110399,352257,312378,664635
ASSAM CODE : S03,Jorhat NO : 12,526529,476552,1003081,207911,138550,346461
ASSAM CODE : S03,Dibrugarh NO : 13,499076,446130,945206,216515,164541,381056
ASSAM CODE : S03,Lakhimpur NO : 14,550923,506878,1057801,377405,327753,705158
BIHAR CODE : S04,Bagaha (SC) NO : 1,556901,471687,1028588,371226,176108,547334
BIHAR CODE : S04,Bettiah NO : 2,596572,501747,1098319,453843,244370,698213
BIHAR CODE : S04,Motihari NO : 3,604439,507700,1112139,436429,234987,671416
BIHAR CODE : S04,Gopalganj NO : 4,638304,538611,1176915,457843,257537,715380
BIHAR CODE : S04,Siwan NO : 5,491968,495718,987686,395544,279876,675420
BIHAR CODE : S04,Maharajganj NO : 6,488227,494080,982307,362198,310082,672280
BIHAR CODE : S04,Chapra NO : 7,529403,473174,1002577,439224,305887,745111
BIHAR CODE : S04,Vaishali NO : 9,629746,420086,1049832,408297,334061,742358
BIHAR CODE : S04,Muzaffarpur NO : 10,571317,490267,1061584,454881,303254,758135
BIHAR CODE : S04,Sitamarhi NO : 11,593371,530989,1124360,508709,265313,774022
BIHAR CODE : S04,Sheohar NO : 12,572265,505358,1077623,444394,273207,717601
BIHAR CODE : S04,Madhubani NO : 13,582192,519815,1102007,401232,326720,727952
BIHAR CODE : S04,Jhanjharpur NO : 14,545529,507716,1053245,397281,308354,705635
BIHAR CODE : S04,Darbhanga NO : 15,560464,482863,1043327,433289,307221,740510
BIHAR CODE : S04,Rosera (SC) NO : 16,572517,505047,1077564,397552,300034,697586
BIHAR CODE : S04,Samastipur NO : 17,647709,571122,1218831,495727,305389,801116
BIHAR CODE : S04,Barh NO : 18,580218,513417,1093635,468918,288881,757799
BIHAR CODE : S04,Balia NO : 19,527192,469336,996528,331053,293573,624626
BIHAR CODE : S04,Saharsa NO : 20,601168,540366,1141534,443384,295585,738969
BIHAR CODE : S04,Madhepura NO : 21,517746,479429,997175,384968,259446,644414
BIHAR CODE : S04,Araria (SC) NO : 22,555540,488712,1044252,431893,258647,690540
BIHAR CODE : S04,Kishanganj NO : 23,585727,543339,1129066,481420,258245,739665
BIHAR CODE : S04,Purnea NO : 24,571730,514238,1085968,454730,256930,711660
BIHAR CODE : S04,Katihar NO : 25,547103,491444,1038547,422886,292337,715223
BIHAR CODE : S04,Rajmahal (ST) NO : 26,482069,468654,950723,375835,219725,595560
BIHAR CODE : S04,Dumka (ST) NO : 27,486425,465493,951918,364926,236968,601894
BIHAR CODE : S04,Godda NO : 28,560927,525716,1086643,405559,313516,719075
BIHAR CODE : S04,Banka NO : 29,554334,506686,1061020,422370,281581,703951
BIHAR CODE : S04,Bhagalpur NO : 30,662455,570130,1232585,409253,388747,798000
BIHAR CODE : S04,Khagaria NO : 31,554126,490617,1044743,417289,337331,754620
BIHAR CODE : S04,Monghyr NO : 32,614087,533360,1147447,513934,270149,784083
BIHAR CODE : S04,Begusarai NO : 33,575488,531207,1106695,422914,279635,702549
BIHAR CODE : S04,Nalanda NO : 34,619632,558438,1178070,540807,353221,894028
BIHAR CODE : S04,Patna NO : 35,813837,650593,1464430,434555,220115,654670
BIHAR CODE : S04,Arrah NO : 36,591478,526031,1117509,430716,305538,736254
BIHAR CODE : S04,Buxar NO : 37,544075,482500,1026575,422950,234805,657755
BIHAR CODE : S04,Sasaram (SC) NO : 38,617353,526807,1144160,421349,261636,682985
BIHAR CODE : S04,Bikramganj NO : 39,611965,525037,1137002,412705,342516,755221
BIHAR CODE : S04,Aurangabad NO : 40,579066,512637,1091703,418845,279217,698062
BIHAR CODE : S04,Jahanabad NO : 41,563739,532404,1096143,469783,378727,848510
BIHAR CODE : S04,Nawada (SC) NO : 42,598178,574551,1172729,449471,428117,877588
BIHAR CODE : S04,Gaya (SC) NO : 43,561316,493701,1055017,410075,299431,709506
BIHAR CODE : S04,Chatra NO : 44,538021,480282,1018303,304024,208267,512291
BIHAR CODE : S04,Kodarma NO : 45,590329,548899,1139228,380608,300063,680671
BIHAR CODE : S04,Giridih NO : 46,607369,508048,1115417,348208,290175,638383
BIHAR CODE : S04,Dhanbad NO : 47,813326,620319,1433645,570315,316702,887017
BIHAR CODE : S04,Hazaribagh NO : 48,644686,569049,1213735,457728,246478,704206
BIHAR CODE : S04,Ranchi NO : 49,602754,528842,1131596,375862,320277,696139
BIHAR CODE : S04,Jamshedpur NO : 50,611575,548987,1160562,435715,288593,724308
BIHAR CODE : S04,Singhbhum (ST) NO : 51,426743,419265,846008,318307,207117,525424
BIHAR CODE : S04,Khunti (ST) NO : 52,422306,411252,833558,278662,197388,476050
BIHAR CODE : S04,Lohardaga (ST) NO : 53,477894,460619,938513,319460,205398,524858
BIHAR CODE : S04,Palamu (SC) NO : 54,575106,504476,1079582,389407,214184,603591
GOA CODE : S05,Panaji NO : 1,197286,198121,395407,128457,115698,244155
GOA CODE : S05,Mormugao NO : 2,245901,239438,485339,152979,141530,294509
GUJARAT CODE : S06,Kutch NO : 1,413466,414371,827837,251807,231401,483208
GUJARAT CODE : S06,Surendranagar NO : 2,491971,459196,951167,327620,261434,589054
GUJARAT CODE : S06,Jamnagar NO : 3,477081,449739,926820,275306,218068,493374
GUJARAT CODE : S06,Rajkot NO : 4,703344,658652,1361996,412121,318663,730784
GUJARAT CODE : S06,Porbandar NO : 5,450723,431108,881831,278670,227000,505670
GUJARAT CODE : S06,Junagadh NO : 6,544325,513997,1058322,342416,280339,622755
GUJARAT CODE : S06,Amreli NO : 7,421619,402369,823988,285895,230044,515939
GUJARAT CODE : S06,Bhavnagar NO : 8,505408,468252,973660,316472,254629,571101
GUJARAT CODE : S06,Dhandhuka (SC) NO : 9,504403,479588,983991,334043,273308,607351
GUJARAT CODE : S06,Ahmedabad NO : 10,686217,606283,1292500,370067,282007,652074
GUJARAT CODE : S06,Gandhinagar NO : 11,923724,859458,1783182,517289,412354,929643
GUJARAT CODE : S06,Mehsana NO : 12,539828,541041,1080869,405710,366782,772492
GUJARAT CODE : S06,Patan (SC) NO : 13,486049,490667,976716,346551,311559,658110
GUJARAT CODE : S06,Banaskantha NO : 14,555530,536947,1092477,416987,345641,762628
GUJARAT CODE : S06,Sabarkantha NO : 15,544864,549823,1094687,383051,346269,729320
GUJARAT CODE : S06,Kapadvanj NO : 16,558873,545064,1103937,390755,321039,711794
GUJARAT CODE : S06,Dohad (ST) NO : 17,512700,502617,1015317,288067,254040,542107
GUJARAT CODE : S06,Godhra NO : 18,520146,482799,1002945,333776,275543,609319
GUJARAT CODE : S06,Kaira NO : 19,531905,504945,1036850,368090,282559,650649
GUJARAT CODE : S06,Anand NO : 20,530696,498215,1028911,372638,301577,674215
GUJARAT CODE : S06,Chhota Udaipur (ST) NO : 21,481422,462396,943818,314949,261174,576123
GUJARAT CODE : S06,Baroda NO : 22,732684,671764,1404448,451765,363073,814838
GUJARAT CODE : S06,Broach NO : 23,536499,512683,1049182,358009,307435,665444
GUJARAT CODE : S06,Surat NO : 24,1031374,867227,1898601,529288,365717,895005
GUJARAT CODE : S06,Mandvi (ST) NO : 25,520284,522704,1042988,344053,315258,659311
GUJARAT CODE : S06,Bulsar (ST) NO : 26,572773,560493,1133266,337868,302661,640529
HARYANA CODE : S07,Ambala (SC) NO : 1,590183,502239,1092422,417825,330488,748313
HARYANA CODE : S07,Kurukshetra NO : 2,582792,506716,1089508,432706,341135,773841
HARYANA CODE : S07,Karnal NO : 3,615875,521942,1137817,454578,351560,806138
HARYANA CODE : S07,Sonepat NO : 4,583639,476184,1059823,402616,297008,699624
HARYANA CODE : S07,Rohtak NO : 5,512262,426745,939007,378715,288924,667639
HARYANA CODE : S07,Faridabad NO : 6,743802,646740,1390542,536815,377006,913821
HARYANA CODE : S07,Mahendragarh NO : 7,644460,581337,1225797,444114,359809,803923
HARYANA CODE : S07,Bhiwani NO : 8,571224,481073,1052297,425412,334475,759887
HARYANA CODE : S07,Hissar NO : 9,560290,466042,1026332,420926,312939,733865
HARYANA CODE : S07,Sirsa (SC) NO : 10,574376,498974,1073350,416349,325688,742037
HIMACHAL PRADES CODE : S08,Simla (SC) NO : 1,485182,424488,909670,341794,292488,634282
HIMACHAL PRADES CODE : S08,Mandi NO : 2,474296,457412,931708,264650,226010,490660
HIMACHAL PRADES CODE : S08,Kangra NO : 3,436468,459715,896183,308880,333732,642612
HIMACHAL PRADES CODE : S08,Hamirpur NO : 4,431618,459685,891303,295305,344754,640059
JAMMU & KASHMIR CODE : S09,Baramulla NO : 1,427433,334595,762028,232107,87484,319591
JAMMU & KASHMIR CODE : S09,Srinagar NO : 2,455764,397419,853183,178863,77627,256490
JAMMU & KASHMIR CODE : S09,Anantnag NO : 3,444491,360492,804983,136939,89658,226597
JAMMU & KASHMIR CODE : S09,Ladakh NO : 4,71239,72253,143492,54318,50947,105265
JAMMU & KASHMIR CODE : S09,Udhampur NO : 5,546543,469700,1016243,276182,246717,522899
JAMMU & KASHMIR CODE : S09,Jammu NO : 6,777544,665309,1442853,439835,349694,789529
KARNATAKA CODE : S10,Bidar (SC) NO : 1,605531,582948,1188479,342007,268058,610065
KARNATAKA CODE : S10,Gulbarga NO : 2,635113,638998,1274111,406917,344817,751734
KARNATAKA CODE : S10,Raichur NO : 3,593191,606258,1199449,346724,260470,607194
KARNATAKA CODE : S10,Koppal NO : 4,601654,610435,1212089,393545,332797,726342
KARNATAKA CODE : S10,Bellary NO : 5,586713,592998,1179711,398786,339824,738610
KARNATAKA CODE : S10,Davangere NO : 6,601534,580253,1181787,450340,377669,828009
KARNATAKA CODE : S10,Chitradurga NO : 7,586085,566767,1152852,414755,348459,763214
KARNATAKA CODE : S10,Tumkur NO : 8,548433,532418,1080851,397480,331512,728992
KARNATAKA CODE : S10,Chikballapur NO : 9,581051,563618,1144669,444125,381104,825229
KARNATAKA CODE : S10,Kolar (SC) NO : 10,547382,532982,1080364,420877,359929,780806
KARNATAKA CODE : S10,Kanakapura NO : 11,997498,924388,1921886,664238,563811,1228049
KARNATAKA CODE : S10,Bangalore North NO : 12,871364,792941,1664305,523166,438551,961717
KARNATAKA CODE : S10,Bangalore South NO : 13,744358,653712,1398070,448613,361522,810135
KARNATAKA CODE : S10,Mandya NO : 14,540573,526644,1067217,402657,392164,794821
KARNATAKA CODE : S10,Chamarajanagar (SC NO : 15,547716,534799,1082515,404344,342877,747221
KARNATAKA CODE : S10,Mysore NO : 16,633536,606572,1240108,459305,399097,858402
KARNATAKA CODE : S10,Mangalore NO : 17,486336,485622,971958,367758,348154,715912
KARNATAKA CODE : S10,Udupi NO : 18,480186,527176,1007362,321892,356857,678749
KARNATAKA CODE : S10,Hassan NO : 19,584136,588435,1172571,453348,411273,864621
KARNATAKA CODE : S10,Chikmagalur NO : 20,522542,528089,1050631,381737,345784,727521
KARNATAKA CODE : S10,Shimoga NO : 21,564439,545696,1110135,421485,365245,786730
KARNATAKA CODE : S10,Kanara NO : 22,552154,534266,1086420,394420,336392,730812
KARNATAKA CODE : S10,Dharwad South NO : 23,545369,516243,1061612,391754,326405,718159
KARNATAKA CODE : S10,Dharwad North NO : 24,555276,529599,1084875,378149,316036,694185
KARNATAKA CODE : S10,Belgaum NO : 25,602207,599585,1201792,401961,335779,737740
KARNATAKA CODE : S10,Chikkodi (SC) NO : 26,540540,528548,1069088,373238,320120,693358
KARNATAKA CODE : S10,Bagalkot NO : 27,535269,544663,1079932,382194,342757,724951
KARNATAKA CODE : S10,Bijapur NO : 28,574829,558670,1133499,352010,303360,655370
KERALA CODE : S11,Kasaragod NO : 1,552841,588226,1141067,419737,452197,871934
KERALA CODE : S11,Cannanore NO : 2,522916,548840,1071756,399818,424390,824208
KERALA CODE : S11,Badagara NO : 3,542835,582241,1125076,398075,447154,845229
KERALA CODE : S11,Calicut NO : 4,526009,556822,1082831,397378,394871,792249
KERALA CODE : S11,Manjeri NO : 5,576464,598335,1174799,386195,426841,813036
KERALA CODE : S11,Ponnani NO : 6,529477,576232,1105709,318556,373950,692506
KERALA CODE : S11,Palghat NO : 7,524977,551467,1076444,371463,373720,745183
KERALA CODE : S11,Ottapalam (SC) NO : 8,498071,554428,1052499,340492,381468,721960
KERALA CODE : S11,Trichur NO : 9,485593,538618,1024211,343118,386307,729425
KERALA CODE : S11,Mukundapuram NO : 10,501075,533262,1034337,367390,384927,752317
KERALA CODE : S11,Ernakulam NO : 11,557337,569665,1127002,392473,383632,776105
KERALA CODE : S11,Muvattupuzha NO : 12,496738,502108,998846,350181,310670,660851
KERALA CODE : S11,Kottayam NO : 13,489198,493389,982587,367659,352205,719864
KERALA CODE : S11,Idukki NO : 14,524395,528895,1053290,369071,350040,719111
KERALA CODE : S11,Alleppey NO : 15,480736,508529,989265,372860,391947,764807
KERALA CODE : S11,Mavelikara NO : 16,424613,468987,893600,292321,332717,625038
KERALA CODE : S11,Adoor (SC) NO : 17,470798,497163,967961,327184,364125,691309
KERALA CODE : S11,Quilon NO : 18,522114,539626,1061740,363215,401975,765190
KERALA CODE : S11,Chirayinkil NO : 19,511187,548056,1059243,325715,370007,695722
KERALA CODE : S11,Trivandrum NO : 20,575894,590555,1166449,383107,383693,766800
MADHYA PRADESH CODE : S12,Morena (SC) NO : 1,680735,560898,1241633,409766,237620,647386
MADHYA PRADESH CODE : S12,Bhind NO : 2,671910,552513,1224423,454147,246981,701128
MADHYA PRADESH CODE : S12,Gwalior NO : 3,656751,548265,1205016,400812,324839,725651
MADHYA PRADESH CODE : S12,Guna NO : 4,650370,565896,1216266,445864,288317,734181
MADHYA PRADESH CODE : S12,Sagar (SC) NO : 5,562553,491237,1053790,369110,231434,600544
MADHYA PRADESH CODE : S12,Khajuraho NO : 6,697563,605134,1302697,485092,346130,831222
MADHYA PRADESH CODE : S12,Damoh NO : 7,622578,561543,1184121,430078,287976,718054
MADHYA PRADESH CODE : S12,Satna NO : 8,590018,544057,1134075,410504,321769,732273
MADHYA PRADESH CODE : S12,Rewa NO : 9,676662,624195,1300857,436763,328674,765437
MADHYA PRADESH CODE : S12,Sidhi (ST) NO : 10,637860,572366,1210226,424858,301142,726000
MADHYA PRADESH CODE : S12,Shahdol (ST) NO : 11,589066,561924,1150990,404025,296026,700051
MADHYA PRADESH CODE : S12,Surguja (ST) NO : 12,532561,520344,1052905,385060,301132,686192
MADHYA PRADESH CODE : S12,Raigarh (ST) NO : 13,462794,466574,929368,362701,330338,693039
MADHYA PRADESH CODE : S12,Janjgir NO : 14,595579,575340,1170919,397504,332284,729788
MADHYA PRADESH CODE : S12,Bilaspur (SC) NO : 15,533801,520438,1054239,326484,264017,590501
MADHYA PRADESH CODE : S12,Sarangarh (SC) NO : 16,515711,520903,1036614,294667,346662,641329
MADHYA PRADESH CODE : S12,Raipur NO : 17,573006,550930,1123936,379853,329581,709434
MADHYA PRADESH CODE : S12,Mahasamund NO : 18,511931,522390,1034321,370251,312859,683110
MADHYA PRADESH CODE : S12,Kanker (ST) NO : 19,496677,502455,999132,334758,273522,608280
MADHYA PRADESH CODE : S12,Bastar (ST) NO : 20,458946,472422,931368,228028,156907,384935
MADHYA PRADESH CODE : S12,Durg NO : 21,647427,612653,1260080,425627,352234,777861
MADHYA PRADESH CODE : S12,Rajnandgaon NO : 22,479246,488976,968222,324679,294760,619439
MADHYA PRADESH CODE : S12,Balaghat NO : 23,429942,437164,867106,313765,291715,605480
MADHYA PRADESH CODE : S12,Mandla (ST) NO : 24,480868,484083,964951,315876,271555,587431
MADHYA PRADESH CODE : S12,Jabalpur NO : 25,621463,573226,1194689,376599,275552,652151
MADHYA PRADESH CODE : S12,Seoni NO : 26,543709,516860,1060569,373650,296618,670268
MADHYA PRADESH CODE : S12,Chhindwara NO : 27,520198,489234,1009432,386660,325093,711753
MADHYA PRADESH CODE : S12,Betul NO : 28,489753,462238,951991,329216,250402,579618
MADHYA PRADESH CODE : S12,Hoshangabad NO : 29,573892,515309,1089201,403092,343383,746475
MADHYA PRADESH CODE : S12,Bhopal NO : 30,785252,698340,1483592,505852,367310,873162
MADHYA PRADESH CODE : S12,Vidisha NO : 31,588951,510406,1099357,408626,258830,667456
MADHYA PRADESH CODE : S12,Rajgarh NO : 32,557292,500027,1057319,412023,305154,717177
MADHYA PRADESH CODE : S12,Shajapur (SC) NO : 33,579024,542634,1121658,441220,333992,775212
MADHYA PRADESH CODE : S12,Khandwa NO : 34,537814,512865,1050679,366233,293032,659265
MADHYA PRADESH CODE : S12,Khargone NO : 35,544836,526692,1071528,366084,293468,659552
MADHYA PRADESH CODE : S12,Dhar (ST) NO : 36,562389,544475,1106864,382163,308912,691075
MADHYA PRADESH CODE : S12,Indore NO : 37,744642,678886,1423528,480328,375474,855802
MADHYA PRADESH CODE : S12,Ujjain (SC) NO : 38,530177,501061,1031238,362330,270624,632954
MADHYA PRADESH CODE : S12,Jhabua (ST) NO : 39,538121,531422,1069543,331656,270980,602636
MADHYA PRADESH CODE : S12,Mandsaur NO : 40,594026,574899,1168925,466332,381973,848305
MAHARASHTRA CODE : S13,Rajapur NO : 1,350246,452434,802680,216141,226150,442291
MAHARASHTRA CODE : S13,Ratnagiri NO : 2,370153,486498,856651,219988,275037,495025
MAHARASHTRA CODE : S13,Kolaba NO : 3,561259,559248,1120507,375673,346004,721677
MAHARASHTRA CODE : S13,Mumbai South NO : 4,418267,291158,709425,207609,135690,343299
MAHARASHTRA CODE : S13,Mumbai South Centra NO : 5,483990,317750,801740,246341,155808,402149
MAHARASHTRA CODE : S13,Mumbai North Central NO : 6,644049,480677,1124726,329930,239186,569116
MAHARASHTRA CODE : S13,Mumbai North East NO : 7,1101640,840621,1942261,598607,439816,1038423
MAHARASHTRA CODE : S13,Mumbai North West NO : 8,841952,682306,1524258,450932,336832,787764
MAHARASHTRA CODE : S13,Mumbai North NO : 9,1206961,972293,2179254,618656,412542,1031198
MAHARASHTRA CODE : S13,Thane NO : 10,1584693,1285484,2870177,559657,386189,945846
MAHARASHTRA CODE : S13,Dahanu (ST) NO : 11,774013,641905,1415918,349766,231167,580933
MAHARASHTRA CODE : S13,Nashik NO : 12,676809,634731,1311540,376153,301242,677395
MAHARASHTRA CODE : S13,Malegaon (ST) NO : 13,543395,528695,1072090,295558,220039,515597
MAHARASHTRA CODE : S13,Dhule (ST) NO : 14,554633,532305,1086938,287092,214058,501150
MAHARASHTRA CODE : S13,Nandurbar (ST) NO : 15,536536,536056,1072592,315921,267339,583260
MAHARASHTRA CODE : S13,Erandol NO : 16,538242,520764,1059006,319971,246363,566334
MAHARASHTRA CODE : S13,Jalgaon NO : 17,556342,531281,1087623,352677,285248,637925
MAHARASHTRA CODE : S13,Buldhana (SC) NO : 18,527120,506138,1033258,370852,316087,686939
MAHARASHTRA CODE : S13,Akola NO : 19,580408,540103,1120511,402359,330864,733223
MAHARASHTRA CODE : S13,Washim NO : 20,515460,492616,1008076,350494,290668,641162
MAHARASHTRA CODE : S13,Amravati NO : 21,585576,536948,1122524,356331,265312,621643
MAHARASHTRA CODE : S13,Ramtek NO : 22,555194,496019,1051213,355861,282508,638369
MAHARASHTRA CODE : S13,Nagpur NO : 23,800070,723367,1523437,470827,382696,853523
MAHARASHTRA CODE : S13,Bhandara NO : 24,465193,463634,928827,347436,324363,671799
MAHARASHTRA CODE : S13,Chimur NO : 25,513795,497527,1011322,402093,351799,753892
MAHARASHTRA CODE : S13,Chandrapur NO : 26,627616,583141,1210757,449952,377147,827099
MAHARASHTRA CODE : S13,Wardha NO : 27,557883,505041,1062924,387758,302600,690358
MAHARASHTRA CODE : S13,Yavatmal NO : 28,535972,496313,1032285,352708,269738,622446
MAHARASHTRA CODE : S13,Hingoli NO : 29,521180,515114,1036294,363393,308393,671786
MAHARASHTRA CODE : S13,Nanded NO : 30,600356,579126,1179482,395206,325152,720358
MAHARASHTRA CODE : S13,Parbhani NO : 31,523828,520265,1044093,341032,282726,623758
MAHARASHTRA CODE : S13,Jalna NO : 32,550384,543664,1094048,353954,292596,646550
MAHARASHTRA CODE : S13,Aurangabad NO : 33,694030,647618,1341648,458359,365407,823766
MAHARASHTRA CODE : S13,Beed NO : 34,596734,573637,1170371,369867,295727,665594
MAHARASHTRA CODE : S13,Latur NO : 35,545566,514774,1060340,389533,333583,723116
MAHARASHTRA CODE : S13,Osmanabad (SC) NO : 36,478213,450800,929013,302793,244543,547336
MAHARASHTRA CODE : S13,Sholapur NO : 37,512361,494951,1007312,327808,287827,615635
MAHARASHTRA CODE : S13,Pandharpur (SC) NO : 38,563063,530351,1093414,331712,255914,587626
MAHARASHTRA CODE : S13,Ahmednagar NO : 39,572942,552291,1125233,357277,314255,671532
MAHARASHTRA CODE : S13,Kopargaon NO : 40,475393,459740,935133,331464,275014,606478
MAHARASHTRA CODE : S13,Khed NO : 41,533792,525417,1059209,351383,278521,629904
MAHARASHTRA CODE : S13,Pune NO : 42,719681,673137,1392818,450486,379586,830072
MAHARASHTRA CODE : S13,Baramati NO : 43,753466,685836,1439302,470523,348517,819040
MAHARASHTRA CODE : S13,Satara NO : 44,472355,493417,965772,313957,291568,605525
