pc91_state_id,pc91_district_id,pc91_pca_area,pc91_pca_res_house,pc91_pca_no_hh,pc91_pca_tot_p,pc91_pca_tot_m,pc91_pca_tot_f,pc91_pca_m_06,pc91_pca_f_06,pc91_pca_p_06,pc91_pca_m_sc,pc91_pca_f_sc,pc91_pca_p_sc,pc91_pca_m_st,pc91_pca_f_st,pc91_pca_p_st,pc91_pca_m_lit,pc91_pca_f_lit,pc91_pca_p_lit,pc91_pca_mainwork_m,pc91_pca_mainwork_f,pc91_pca_mainwork_p,pc91_pca_main_cl_m,pc91_pca_main_cl_f,pc91_pca_main_cl_p,pc91_pca_main_al_m,pc91_pca_main_al_f,pc91_pca_main_al_p,pc91_pca_main_liv_m,pc91_pca_main_liv_f,pc91_pca_main_liv_p,pc91_pca_main_min_m,pc91_pca_main_min_f,pc91_pca_main_min_p,pc91_pca_main_hh_m,pc91_pca_main_hh_f,pc91_pca_main_hh_p,pc91_pca_main_man_m,pc91_pca_main_man_f,pc91_pca_main_man_p,pc91_pca_main_con_m,pc91_pca_main_con_f,pc91_pca_main_con_p,pc91_pca_main_trade_m,pc91_pca_main_trade_f,pc91_pca_main_trade_p,pc91_pca_main_trans_m,pc91_pca_main_trans_f,pc91_pca_main_trans_p,pc91_pca_main_ot_m,pc91_pca_main_ot_f,pc91_pca_main_ot_p,pc91_pca_margwork_m,pc91_pca_margwork_f,pc91_pca_margwork_p,pc91_pca_non_work_m,pc91_pca_non_work_f,pc91_pca_non_work_p
25,27,465622.5100197494,307759.0,334149.0,1987395.0,1094363.0,893032.0,200634.0,188802.0,389436.0,199131.0,158920.0,358051.0,214.0,178.0,392.0,381473.0,130936.0,512409.0,602831.0,12188.0,615019.0,395144.0,3789.0,398933.0,85946.0,2955.0,88901.0,3083.0,175.0,3258.0,90.0,2.0,92.0,7514.0,747.0,8261.0,17461.0,296.0,17757.0,5042.0,36.0,5078.0,29315.0,412.0,29727.0,8646.0,37.0,8683.0,50590.0,3739.0,54329.0,835.0,4720.0,5555.0,490697.0,876124.0,1366821.0
25,28,679211.7096233368,367951.0,396077.0,2377605.0,1290868.0,1086737.0,235065.0,227962.0,463027.0,346971.0,293520.0,640491.0,14958.0,13898.0,28856.0,430398.0,141674.0,572072.0,714208.0,25167.0,739375.0,531275.0,10313.0,541588.0,92544.0,10199.0,102743.0,1758.0,54.0,1812.0,33.0,3.0,36.0,4989.0,611.0,5600.0,9798.0,167.0,9965.0,1905.0,13.0,1918.0,26461.0,382.0,26843.0,3715.0,6.0,3721.0,41730.0,3419.0,45149.0,1052.0,17586.0,18638.0,575608.0,1043984.0,1619592.0
25,29,533216.9002227783,430896.0,462003.0,2679890.0,1462705.0,1217185.0,264902.0,253010.0,517912.0,470218.0,391243.0,861461.0,151.0,128.0,279.0,518295.0,165919.0,684214.0,804504.0,35954.0,840458.0,591245.0,17653.0,608898.0,86409.0,9689.0,96098.0,1384.0,95.0,1479.0,20.0,0.0,20.0,16754.0,2293.0,19047.0,14328.0,856.0,15184.0,2547.0,132.0,2679.0,31108.0,540.0,31648.0,5527.0,24.0,5551.0,55182.0,4672.0,59854.0,1461.0,18929.0,20390.0,656740.0,1162302.0,1819042.0
25,30,594752.1299934387,433288.0,465648.0,2747082.0,1510831.0,1236251.0,277044.0,255746.0,532790.0,479970.0,386610.0,866580.0,29.0,5.0,34.0,610089.0,193684.0,803773.0,815860.0,36741.0,852601.0,610507.0,18980.0,629487.0,89306.0,8865.0,98171.0,3340.0,293.0,3633.0,92.0,1.0,93.0,9529.0,1932.0,11461.0,10150.0,771.0,10921.0,2641.0,110.0,2751.0,28652.0,893.0,29545.0,3937.0,24.0,3961.0,57706.0,4872.0,62578.0,1590.0,26354.0,27944.0,693381.0,1173156.0,1866537.0
25,31,453946.1100034714,373349.0,392273.0,2200397.0,1174856.0,1025541.0,215087.0,202122.0,417209.0,356991.0,314984.0,671975.0,1298.0,1077.0,2375.0,495540.0,194486.0,690026.0,616894.0,61138.0,678032.0,433921.0,34895.0,468816.0,67230.0,18528.0,85758.0,3183.0,326.0,3509.0,153.0,38.0,191.0,6605.0,1132.0,7737.0,23762.0,1215.0,24977.0,4327.0,71.0,4398.0,29195.0,643.0,29838.0,7323.0,64.0,7387.0,41195.0,4226.0,45421.0,2701.0,57266.0,59967.0,555261.0,907137.0,1462398.0
25,32,218794.26006126404,462998.0,490675.0,2762801.0,1480839.0,1281962.0,240072.0,227500.0,467572.0,323087.0,281323.0,604410.0,624.0,500.0,1124.0,825225.0,494313.0,1319538.0,716604.0,75624.0,792228.0,215532.0,20006.0,235538.0,55187.0,13706.0,68893.0,11286.0,898.0,12184.0,444.0,19.0,463.0,14269.0,2404.0,16673.0,64282.0,3145.0,67427.0,25553.0,1296.0,26849.0,108484.0,4178.0,112662.0,37302.0,986.0,38288.0,184265.0,28986.0,213251.0,2430.0,22838.0,25268.0,761805.0,1183500.0,1945305.0
25,33,440003.8100013733,419983.0,427146.0,2322810.0,1203153.0,1119657.0,234294.0,223134.0,457428.0,355493.0,338081.0,693574.0,779.0,701.0,1480.0,516363.0,188346.0,704709.0,607834.0,123892.0,731726.0,381138.0,56440.0,437578.0,99372.0,55711.0,155083.0,4216.0,422.0,4638.0,200.0,23.0,223.0,6528.0,1756.0,8284.0,25532.0,1943.0,27475.0,5463.0,213.0,5676.0,28953.0,1177.0,30130.0,7103.0,85.0,7188.0,49396.0,6122.0,55518.0,5685.0,83272.0,88957.0,589567.0,912493.0,1502060.0
25,34,433691.22961449623,368377.0,382887.0,2434434.0,1326353.0,1108081.0,254747.0,235152.0,489899.0,236073.0,192191.0,428264.0,452.0,317.0,769.0,637311.0,279117.0,916428.0,676447.0,31704.0,708151.0,443610.0,4557.0,448167.0,85048.0,4031.0,89079.0,2945.0,237.0,3182.0,79.0,16.0,95.0,5945.0,4577.0,10522.0,28139.0,11217.0,39356.0,4277.0,194.0,4471.0,36617.0,1671.0,38288.0,7052.0,45.0,7097.0,62735.0,5159.0,67894.0,1158.0,14141.0,15299.0,648748.0,1062236.0,1710984.0
25,35,442281.4692645073,320570.0,338600.0,2124655.0,1160227.0,964428.0,221180.0,197084.0,418264.0,294898.0,236957.0,531855.0,65.0,10.0,75.0,622008.0,294228.0,916236.0,565712.0,15229.0,580941.0,339611.0,3985.0,343596.0,94873.0,5101.0,99974.0,3606.0,140.0,3746.0,50.0,15.0,65.0,6192.0,942.0,7134.0,18003.0,867.0,18870.0,5207.0,95.0,5302.0,32439.0,330.0,32769.0,10151.0,70.0,10221.0,55580.0,3684.0,59264.0,212.0,1666.0,1878.0,594303.0,947533.0,1541836.0
25,36,506155.56988716125,336267.0,354888.0,2137686.0,1159894.0,977792.0,214573.0,199262.0,413835.0,294904.0,243148.0,538052.0,352.0,325.0,677.0,594406.0,279672.0,874078.0,579995.0,42157.0,622152.0,357641.0,15368.0,373009.0,121423.0,21658.0,143081.0,3736.0,261.0,3997.0,41.0,3.0,44.0,3009.0,432.0,3441.0,19146.0,1225.0,20371.0,4184.0,90.0,4274.0,26273.0,580.0,26853.0,7546.0,28.0,7574.0,36996.0,2512.0,39508.0,401.0,3911.0,4312.0,579498.0,931724.0,1511222.0
