State/UT,Constituency,Electors_Male,Electors_Female,Electors_Total,Voted_Male,Voted_Female,Voted_Total
ANDHRA PRADESH CODE : S01,Srikakulam NO : 1,476683,506646,983329,319823,327396,647219
ANDHRA PRADESH CODE : S01,Parvathipuram (ST) NO : 2,443058,471861,914919,307474,286521,593995
ANDHRA PRADESH CODE : S01,Bobbili NO : 3,461684,481216,942900,327741,312285,640026
ANDHRA PRADESH CODE : S01,Visakhapatnam NO : 4,701119,693356,1394475,454240,394954,849194
ANDHRA PRADESH CODE : S01,Bhadrachalam (ST) NO : 5,546040,556068,1102108,365597,310988,676585
ANDHRA PRADESH CODE : S01,Anakapalli NO : 6,505982,531073,1037055,354148,347577,701725
ANDHRA PRADESH CODE : S01,Kakinada NO : 7,578020,586858,1164878,388604,356539,745143
ANDHRA PRADESH CODE : S01,Rajahmundry NO : 8,556491,563992,1120483,394424,375525,769949
ANDHRA PRADESH CODE : S01,Amalapuram (SC) NO : 9,451561,456931,908492,337336,300306,637642
ANDHRA PRADESH CODE : S01,Narasapur NO : 10,506339,514309,1020648,376751,346664,723415
ANDHRA PRADESH CODE : S01,Eluru NO : 11,557257,561380,1118637,413978,381101,795079
ANDHRA PRADESH CODE : S01,Machilipatnam NO : 12,499737,502790,1002527,371097,339302,710399
ANDHRA PRADESH CODE : S01,Vijayawada NO : 13,680606,670457,1351063,466587,426853,893440
ANDHRA PRADESH CODE : S01,Tenali NO : 14,480766,481226,961992,331736,300501,632237
ANDHRA PRADESH CODE : S01,Guntur NO : 15,635232,635300,1270532,395241,349782,745023
ANDHRA PRADESH CODE : S01,Bapatla NO : 16,532944,540946,1073890,349085,326634,675719
ANDHRA PRADESH CODE : S01,Narasaraopet NO : 17,638012,636447,1274459,371354,357146,728500
ANDHRA PRADESH CODE : S01,Ongole NO : 18,593280,591698,1184978,386529,378776,765305
ANDHRA PRADESH CODE : S01,Nellore (SC) NO : 19,588341,594534,1182875,373374,327483,700857
ANDHRA PRADESH CODE : S01,Tirupathi (SC) NO : 20,599555,609083,1208638,400988,357803,758791
ANDHRA PRADESH CODE : S01,Chittoor NO : 21,566550,566287,1132837,427351,383759,811110
ANDHRA PRADESH CODE : S01,Rajampet NO : 22,493820,490579,984399,323854,266307,590161
ANDHRA PRADESH CODE : S01,Cuddapah NO : 23,574717,578019,1152736,399195,368763,767958
ANDHRA PRADESH CODE : S01,Hindupur NO : 24,595467,576241,1171708,397465,317181,714646
ANDHRA PRADESH CODE : S01,Anantapur NO : 25,613363,601154,1214517,365381,290870,656251
ANDHRA PRADESH CODE : S01,Kurnool NO : 26,573048,576090,1149138,385393,327602,712995
ANDHRA PRADESH CODE : S01,Nandyal NO : 27,563264,559886,1123150,393494,347392,740886
ANDHRA PRADESH CODE : S01,Nagarkurnool (SC) NO : 28,597811,598750,1196561,400355,382248,782603
ANDHRA PRADESH CODE : S01,Mahabubnagar NO : 29,617048,626577,1243625,381519,363146,744665
ANDHRA PRADESH CODE : S01,Hyderabad NO : 30,765837,732678,1498515,506996,442564,949560
ANDHRA PRADESH CODE : S01,Secunderabad NO : 31,868981,822437,1691418,489064,388105,877169
ANDHRA PRADESH CODE : S01,Siddipet (SC) NO : 32,800110,776277,1576387,500614,429738,930352
ANDHRA PRADESH CODE : S01,Medak NO : 33,605783,622386,1228169,413474,374055,787529
ANDHRA PRADESH CODE : S01,Nizamabad NO : 34,546992,587649,1134641,351395,347117,698512
ANDHRA PRADESH CODE : S01,Adilabad NO : 35,527651,545311,1072962,362861,324296,687157
ANDHRA PRADESH CODE : S01,Peddapalli (SC) NO : 36,661593,646749,1308342,396339,324907,721246
ANDHRA PRADESH CODE : S01,Karimnagar NO : 37,612316,631325,1243641,360989,339495,700484
ANDHRA PRADESH CODE : S01,Hanamkonda NO : 38,562496,551393,1113889,319755,264552,584307
ANDHRA PRADESH CODE : S01,Warangal NO : 39,562181,556587,1118768,402937,353183,756120
ANDHRA PRADESH CODE : S01,Khammam NO : 40,621813,610906,1232719,471024,424417,895441
ANDHRA PRADESH CODE : S01,Nalgonda NO : 41,733553,693473,1427026,448539,402579,851118
ANDHRA PRADESH CODE : S01,Miryalguda NO : 42,638167,629081,1267248,450549,395617,846166
ARUNACHAL PRADE CODE : S02,Arunachal West NO : 1,161287,149860,311147,91628,78160,169788
ARUNACHAL PRADE CODE : S02,Arunachal East NO : 2,127386,105907,233293,73712,56180,129892
ASSAM CODE : S03,Karimganj (SC) NO : 1,457650,418892,876542,392702,310652,703354
ASSAM CODE : S03,Silchar NO : 2,400081,353217,753298,305501,286751,592252
ASSAM CODE : S03,Autonomous District NO : 3,263491,183105,446596,217501,139057,356558
ASSAM CODE : S03,Dhubri NO : 4,479410,451532,930942,421134,389513,810647
ASSAM CODE : S03,Kokrajhar (ST) NO : 5,505487,472410,977897,436090,371829,807919
ASSAM CODE : S03,Barpeta NO : 6,467340,390018,857358,386430,318777,705207
ASSAM CODE : S03,Gauhati NO : 7,617170,552898,1170068,466025,406480,872505
ASSAM CODE : S03,Mangaldoi NO : 8,551052,498301,1049353,439565,395444,835009
ASSAM CODE : S03,Tezpur NO : 9,450532,403178,853710,357090,320359,677449
ASSAM CODE : S03,Nowgong NO : 10,521234,452078,973312,437298,327813,765111
ASSAM CODE : S03,Kaliabor NO : 11,538605,461355,999960,445036,333687,778723
ASSAM CODE : S03,Jorhat NO : 12,491592,444694,936286,372115,305254,677369
ASSAM CODE : S03,Dibrugarh NO : 13,441434,399459,840893,321155,270142,591297
ASSAM CODE : S03,Lakhimpur NO : 14,485083,436361,921444,359353,348236,707589
BIHAR CODE : S04,Bagaha (SC) NO : 1,546478,463857,1010335,305475,157540,463015
BIHAR CODE : S04,Bettiah NO : 2,592937,498840,1091777,410642,221112,631754
BIHAR CODE : S04,Motihari NO : 3,604804,510804,1115608,420591,197921,618512
BIHAR CODE : S04,Gopalganj NO : 4,630384,528968,1159352,387375,298071,685446
BIHAR CODE : S04,Siwan NO : 5,495254,497171,992425,370891,259569,630460
BIHAR CODE : S04,Maharajganj NO : 6,488565,497323,985888,368913,237983,606896
BIHAR CODE : S04,Chapra NO : 7,541408,460488,1001896,428617,286841,715458
BIHAR CODE : S04,Hajipur (SC) NO : 8,569572,488620,1058192,449733,310026,759759
BIHAR CODE : S04,Vaishali NO : 9,632897,421922,1054819,427053,284710,711763
BIHAR CODE : S04,Muzaffarpur NO : 10,633678,422444,1056122,386507,259330,645837
BIHAR CODE : S04,Sitamarhi NO : 11,590151,525322,1115473,448956,297958,746914
BIHAR CODE : S04,Sheohar NO : 12,577940,506125,1084065,441198,251551,692749
BIHAR CODE : S04,Madhubani NO : 13,590425,515807,1106232,425286,182266,607552
BIHAR CODE : S04,Jhanjharpur NO : 14,550025,507232,1057257,423315,248618,671933
BIHAR CODE : S04,Darbhanga NO : 15,538121,487715,1025836,439857,188505,628362
BIHAR CODE : S04,Rosera (SC) NO : 16,557722,501786,1059508,382884,223201,606085
BIHAR CODE : S04,Samastipur NO : 17,641919,575195,1217114,450817,284449,735266
BIHAR CODE : S04,Barh NO : 18,580445,508173,1088618,372415,335203,707618
BIHAR CODE : S04,Balia NO : 19,527054,467455,994509,291847,245770,537617
BIHAR CODE : S04,Saharsa NO : 20,595512,535492,1131004,420409,288970,709379
BIHAR CODE : S04,Madhepura NO : 21,520854,478424,999278,327939,296848,624787
BIHAR CODE : S04,Araria (SC) NO : 22,562052,487437,1049489,371884,223029,594913
BIHAR CODE : S04,Kishanganj NO : 23,587727,543156,1130883,424835,269453,694288
BIHAR CODE : S04,Purnea NO : 24,562698,512195,1074893,411206,268440,679646
BIHAR CODE : S04,Katihar NO : 25,521339,474310,995649,355703,291030,646733
BIHAR CODE : S04,Rajmahal (ST) NO : 26,481177,467096,948273,336270,233327,569597
BIHAR CODE : S04,Dumka (ST) NO : 27,485725,464184,949909,317214,211476,528690
BIHAR CODE : S04,Godda NO : 28,559591,524149,1083740,397459,233639,631098
BIHAR CODE : S04,Banka NO : 29,551960,501463,1053423,378595,262355,640950
BIHAR CODE : S04,Bhagalpur NO : 30,661438,566502,1227940,413316,242012,655328
BIHAR CODE : S04,Khagaria NO : 31,548646,484922,1033568,380017,302984,683001
BIHAR CODE : S04,Monghyr NO : 32,605172,527635,1132807,385748,356294,742042
BIHAR CODE : S04,Begusarai NO : 33,574419,528130,1102549,402127,267656,669783
BIHAR CODE : S04,Nalanda NO : 34,617518,555583,1173101,496691,394203,890894
BIHAR CODE : S04,Patna NO : 35,801193,651104,1452297,442914,338960,781874
BIHAR CODE : S04,Arrah NO : 36,573723,528252,1101975,342176,302347,644523
BIHAR CODE : S04,Buxar NO : 37,542165,482209,1024374,382507,209638,592145
BIHAR CODE : S04,Sasaram (SC) NO : 38,599917,539024,1138941,358338,238888,597226
BIHAR CODE : S04,Bikramganj NO : 39,601647,519930,1121577,398646,260749,659395
BIHAR CODE : S04,Aurangabad NO : 40,577123,510991,1088114,374525,171651,546176
BIHAR CODE : S04,Jahanabad NO : 41,558114,534908,1093022,492803,302255,795058
BIHAR CODE : S04,Nawada (SC) NO : 42,601931,575454,1177385,409417,341885,751302
BIHAR CODE : S04,Gaya (SC) NO : 43,580079,485783,1065862,380204,257808,638012
BIHAR CODE : S04,Chatra NO : 44,537208,478908,1016116,311797,203631,515428
BIHAR CODE : S04,Kodarma NO : 45,575598,539081,1114679,390334,239130,629464
BIHAR CODE : S04,Giridih NO : 46,602917,505623,1108540,408657,201283,609940
BIHAR CODE : S04,Dhanbad NO : 47,803505,628664,1432169,512673,307217,819890
BIHAR CODE : S04,Hazaribagh NO : 48,644691,568350,1213041,416980,211942,628922
BIHAR CODE : S04,Ranchi NO : 49,599772,526378,1126150,325957,286023,611980
BIHAR CODE : S04,Jamshedpur NO : 50,600385,537745,1138130,399904,273844,673748
BIHAR CODE : S04,Singhbhum (ST) NO : 51,424108,414118,838226,294299,184911,479210
BIHAR CODE : S04,Khunti (ST) NO : 52,417622,405390,823012,238775,193372,432147
BIHAR CODE : S04,Lohardaga (ST) NO : 53,478222,460503,938725,296505,190241,486746
BIHAR CODE : S04,Palamu (SC) NO : 54,567009,497441,1064450,292068,194708,486776
GOA CODE : S05,Panaji NO : 1,193130,194329,387459,117608,98473,216081
GOA CODE : S05,Mormugao NO : 2,244072,237562,481634,145129,128337,273466
GUJARAT CODE : S06,Kutch NO : 1,413519,413197,826716,177446,139265,316711
GUJARAT CODE : S06,Surendranagar NO : 2,484146,451292,935438,221187,142333,363520
GUJARAT CODE : S06,Jamnagar NO : 3,469224,443203,912427,194566,129952,324518
GUJARAT CODE : S06,Rajkot NO : 4,696867,652762,1349629,257670,159263,416933
GUJARAT CODE : S06,Porbandar NO : 5,450868,430890,881758,181638,122715,304353
GUJARAT CODE : S06,Junagadh NO : 6,541618,510322,1051940,203494,134208,337702
GUJARAT CODE : S06,Amreli NO : 7,412533,393216,805749,213736,149676,363412
GUJARAT CODE : S06,Bhavnagar NO : 8,493895,455990,949885,262889,178275,441164
GUJARAT CODE : S06,Dhandhuka (SC) NO : 9,501157,475313,976470,199917,119558,319475
GUJARAT CODE : S06,Ahmedabad NO : 10,678544,601310,1279854,222353,129797,352150
GUJARAT CODE : S06,Gandhinagar NO : 11,908307,844637,1752944,310193,187817,498010
GUJARAT CODE : S06,Mehsana NO : 12,531264,529728,1060992,276275,202408,478683
GUJARAT CODE : S06,Patan (SC) NO : 13,484117,487215,971332,195820,117544,313364
GUJARAT CODE : S06,Banaskantha NO : 14,552213,533101,1085314,294839,187830,482669
GUJARAT CODE : S06,Sabarkantha NO : 15,546929,548775,1095704,253137,184323,437460
GUJARAT CODE : S06,Kapadvanj NO : 16,561070,541417,1102487,197300,112448,309748
GUJARAT CODE : S06,Dohad (ST) NO : 17,508981,497627,1006608,176657,131820,308477
GUJARAT CODE : S06,Godhra NO : 18,518236,480713,998949,200403,125676,326079
GUJARAT CODE : S06,Kaira NO : 19,529470,504872,1034342,232476,139023,371499
GUJARAT CODE : S06,Anand NO : 20,521973,495250,1017223,232394,139198,371592
GUJARAT CODE : S06,Chhota Udaipur (ST) NO : 21,486077,456954,943031,202170,148467,350637
GUJARAT CODE : S06,Baroda NO : 22,727377,668880,1396257,271306,165930,437236
GUJARAT CODE : S06,Broach NO : 23,527472,501187,1028659,262462,196085,458547
GUJARAT CODE : S06,Surat NO : 24,1026658,863968,1890626,386383,247002,633385
GUJARAT CODE : S06,Mandvi (ST) NO : 25,521358,522415,1043773,271313,230194,501507
GUJARAT CODE : S06,Bulsar (ST) NO : 26,572825,558162,1130987,242172,187647,429819
HARYANA CODE : S07,Ambala (SC) NO : 1,593140,505627,1098767,449445,374853,824298
HARYANA CODE : S07,Kurukshetra NO : 2,588287,512247,1100534,452869,376160,829029
HARYANA CODE : S07,Karnal NO : 3,622770,526371,1149141,450360,379556,829916
HARYANA CODE : S07,Sonepat NO : 4,583742,475222,1058964,407481,318494,725975
HARYANA CODE : S07,Rohtak NO : 5,516489,433271,949760,356240,288240,644480
HARYANA CODE : S07,Faridabad NO : 6,743783,650604,1394387,484415,360574,844989
HARYANA CODE : S07,Mahendragarh NO : 7,649260,588729,1237989,439326,380129,819455
HARYANA CODE : S07,Bhiwani NO : 8,572576,487987,1060563,410633,338666,749299
HARYANA CODE : S07,Hissar NO : 9,561531,468936,1030467,413309,332940,746249
HARYANA CODE : S07,Sirsa (SC) NO : 10,574335,497949,1072284,457660,389513,847173
HIMACHAL PRADES CODE : S08,Simla (SC) NO : 1,469581,414110,883691,265976,204302,470278
HIMACHAL PRADES CODE : S08,Mandi NO : 2,461974,447776,909750,278659,251545,530204
HIMACHAL PRADES CODE : S08,Kangra NO : 3,425746,449774,875520,266718,269360,536078
HIMACHAL PRADES CODE : S08,Hamirpur NO : 4,418733,448823,867556,238818,261063,499881
JAMMU & KASHMIR CODE : S09,Baramulla NO : 1,391549,313052,704601,232956,95732,328688
JAMMU & KASHMIR CODE : S09,Srinagar NO : 2,412059,374242,786301,195426,126502,321928
JAMMU & KASHMIR CODE : S09,Anantnag NO : 3,421122,343548,764670,280168,103693,383861
JAMMU & KASHMIR CODE : S09,Ladakh NO : 4,66350,65052,131402,56414,49933,106347
JAMMU & KASHMIR CODE : S09,Udhampur NO : 5,443716,418520,862236,234336,225120,459456
JAMMU & KASHMIR CODE : S09,Jammu NO : 6,643921,562578,1206499,370302,211012,581314
KARNATAKA CODE : S10,Bidar (SC) NO : 1,577364,551067,1128431,295733,201974,497707
KARNATAKA CODE : S10,Gulbarga NO : 2,603722,600752,1204474,326744,253935,580679
KARNATAKA CODE : S10,Raichur NO : 3,560560,570682,1131242,296592,200568,497160
KARNATAKA CODE : S10,Koppal NO : 4,580576,586763,1167339,347258,275793,623051
KARNATAKA CODE : S10,Bellary NO : 5,575557,580114,1155671,353424,289209,642633
KARNATAKA CODE : S10,Davangere NO : 6,584112,559388,1143500,416647,331303,747950
KARNATAKA CODE : S10,Chitradurga NO : 7,568472,550213,1118685,394610,327875,722485
KARNATAKA CODE : S10,Tumkur NO : 8,532719,516989,1049708,374332,309940,684272
