pc91_state_id,pc91_district_id,pc91_td_area,pc91_td_res_house,pc91_td_p_7andup,pc91_td_p_lit_7andup,pc91_td_tot_work_p,pc91_td_mainwork_p,pc91_td_margwork_p,pc91_td_non_work_p,pc91_td_workers_non_per1000,pc91_td_p_sc,pc91_td_p_st,pc91_td_avg_rain,pc91_td_max_temp,pc91_td_min_temp,pc91_td_sh_dist,pc91_td_dh_dist,pc91_td_sd_dist,pc91_td_rail_dist,pc91_td_tap,pc91_td_well,pc91_td_tank,pc91_td_tube_well,pc91_td_stor_cap_tank,pc91_td_stor_cap_res,pc91_td_stor_cap_rivergal,pc91_td_stor_cap_wellpump,pc91_td_stor_cap_pressuretank,pc91_td_el_dom,pc91_td_el_ind,pc91_td_el_com,pc91_td_el_road_l,pc91_td_el_others,pc91_td_p_road,pc91_td_k_road,pc91_td_tot_road,pc91_td_dist_f_ser,pc91_td_sewage_sewer,pc91_td_sewage_opendrain,pc91_td_sewage_boxdrain,pc91_td_sewage_sylkdrain,pc91_td_sewage_cess,pc91_td_sewage_pit,pc91_td_sewage_other,pc91_td_water_bor,pc91_td_service,pc91_td_lat_oth,pc91_td_nsoil_head,pc91_td_nsoil_basket,pc91_td_nsoil_wb,pc91_td_nsoil_septic,pc91_td_nsoil_sewerage,pc91_td_nsoil_pit,pc91_td_nsoil_other,pc91_td_hospitals,pc91_td_disp,pc91_td_health_ctr,pc91_td_f_w_ctr,pc91_td_nur_homes,pc91_td_med_oth,pc91_td_tot_beds,pc91_td_primary,pc91_td_middle,pc91_td_secondary,pc91_td_s_sec,pc91_td_vt_inst,pc91_td_polytech,pc91_td_arts,pc91_td_science,pc91_td_commerce,pc91_td_medical,pc91_td_engg,pc91_td_law,pc91_td_adult_cnt,pc91_td_n_hostels,pc91_td_n_seats,pc91_td_stadium,pc91_td_cinema,pc91_td_auditorium,pc91_td_p_lib,pc91_td_r_rooms,pc91_td_banks,pc91_td_a_c_soc,pc91_td_n_a_c_soc,pc91_td_inc_8889,pc91_td_exp_8889,pc91_td_joint_muni
21,13,134.26999999999998,10342,44106,29326,15979,15526,453,37621,5245,5357,1843,3335.1,46.0,2.6,510.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,475000.0,0.0,0.0,0.0,0.0,4505.0,105.0,1247.0,2338.0,6.0,58.0,15.0,73.0,0.0,0.0,3,0,0.0,0,0,0.0,4536.0,347.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,5.0,5.0,1.0,1.0,0.0,2.0,132.0,26.0,15.0,4.0,4.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,8.0,2.0,2.0,17263200.0,13008300.0,
21,14,208.6,115089,629786,417743,217223,213243,3980,547327,10358,93250,17527,1726.9000000000003,46.8,1.8,260.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1467500.0,0.0,0.0,0.0,0.0,81485.0,3114.0,22590.0,2134.0,1344.0,424.7,56.5,481.2,0.0,3.0,3,0,0.0,3,3,0.0,74523.0,13841.0,18835.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,16.0,38.0,1.0,4.0,0.0,7.0,2205.0,215.0,119.0,37.0,25.0,9.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,5.0,3.0,121.0,3.0,11.0,6.0,3.0,67.0,96.0,29.0,32.0,60667100.0,60893900.0,
21,15,269.28,49916,272486,139091,92598,88361,4237,250038,30194,43349,563,2908.2,45.0,1.0,120.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,1738800.0,0.0,0.0,1080000.0,400000.0,32935.0,1665.0,8237.0,6733.0,3954.0,114.86999999999999,117.52,232.39000000000001,36.0,3.0,3,0,0.0,0,3,0.0,14433.0,11402.0,5243.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,21.0,10.0,1.0,5.0,0.0,7.0,596.0,85.0,35.0,29.0,16.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,9.0,3.0,9.0,11.0,41.0,6.0,16.0,31662500.0,26432300.0,
21,16,312.53000000000003,59813,260353,148174,97362,90944,6418,225985,32490,51840,7099,1662.6,44.0,2.0,225.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,950440.0,6849400.0,0.0,0.0,0.0,33759.0,1853.0,8943.0,11999.0,1960.0,289.9,191.85999999999999,481.76,0.0,3.0,3,0,0.0,0,3,0.0,18546.0,9930.0,5614.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,16.0,33.0,5.0,9.0,2.0,8.0,738.0,88.0,41.0,11.0,19.0,12.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,40.0,2.0,9.0,3.0,6.0,6.0,43.0,15.0,10.0,50327100.0,46194300.0,
21,17,59.29,24934,116882,69940,40499,38323,2176,103667,10885,21601,3731,1975.6,47.0,5.0,435.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1225000.0,1362000.0,0.0,0.0,0.0,15787.0,459.0,4040.0,4175.0,267.0,105.44,21.71,127.15,0.0,0.0,3,0,0.0,0,0,0.0,6029.0,2392.0,9.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,6.0,10.0,3.0,4.0,1.0,5.0,345.0,40.0,21.0,4.0,5.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,60.0,3.0,102.0,2.0,3.0,0.0,2.0,4.0,19.0,5.0,3.0,27754600.0,18956800.0,
21,18,47.69,14783,66569,35856,24092,21643,2449,59116,8176,15550,4620,2742.5,44.9,7.1,418.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3265800.0,0.0,0.0,0.0,0.0,11030.0,716.0,2741.0,1774.0,1217.0,41.5,48.5,90.0,0.0,0.0,3,0,0.0,0,0,0.0,2462.0,4885.0,400.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,6.0,4.0,2.0,3.0,0.0,4.0,275.0,27.0,15.0,4.0,5.0,5.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,5.0,2.0,2.0,8.0,4.0,3.0,21733100.0,22538600.0,
21,19,79.32,24270,105205,70834,36470,34929,1541,91112,15709,23895,10179,2142.2,34.9,,368.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,4017900.0,1426564000.0,0.0,0.0,0.0,14684.0,525.0,5234.0,4367.0,426.0,116.5,81.5,198.0,0.0,3.0,3,3,0.0,0,0,0.0,7252.0,1738.0,61.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,8.0,20.0,1.0,4.0,1.0,6.0,299.0,50.0,20.0,9.0,13.0,8.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,23.0,1.0,18.0,2.0,5.0,4.0,7.0,7.0,37.0,9.0,7.0,25836400.0,17350500.0,
21,20,353.09000000000003,57788,254258,157352,101126,95812,5314,210018,19883,47685,11015,1852.2,45.0,3.9,181.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,577000.0,1597000.0,0.0,0.0,0.0,20448.0,886.0,7363.0,15052.0,1195.0,326.62,109.65,436.27,0.0,3.0,3,0,0.0,0,0,0.0,11430.0,2547.0,16003.0,0.0,3.0,3.0,3.0,0.0,0.0,3.0,17.0,25.0,3.0,5.0,3.0,8.0,689.0,129.0,67.0,20.0,15.0,12.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,15.0,2.0,62.0,1.0,11.0,4.0,6.0,18.0,45.0,7.0,92.0,33846700.0,33199100.0,
21,21,232.23,95288,414520,308566,151549,145028,6521,342470,32009,52416,27498,3601.4999999999995,43.4,1.04,282.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,10952560.0,22586280.0,0.0,0.0,0.0,53133.0,2621.0,17640.0,19250.0,1395.0,499.58000000000004,137.26999999999998,636.8499999999999,0.0,3.0,3,3,0.0,0,0,0.0,15926.0,6862.0,1106.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,29.0,28.0,4.0,10.0,0.0,7.0,1633.0,118.0,50.0,30.0,34.0,9.0,1.0,5.0,3.0,5.0,2.0,0.0,1.0,3.0,0.0,0.0,2.0,16.0,4.0,9.0,14.0,72.0,12.0,19.0,56665000.0,58510700.0,
21,22,152.57,45651,192015,132254,70753,67922,2831,160874,19333,31498,7025,1852.2,45.0,1.6,285.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,4435680.0,2111000.0,0.0,0.0,0.0,19079.0,994.0,6539.0,7758.0,1531.0,247.2,69.5,316.7,0.0,0.0,3,3,0.0,0,0,0.0,9072.0,2257.0,3065.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,15.0,27.0,2.0,5.0,2.0,8.0,592.0,131.0,48.0,37.0,16.0,8.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,52.0,2.0,12.0,3.0,6.0,5.0,38.0,10.0,11.0,40702100.0,38816100.0,
