pc91_state_id,pc91_district_id,ec98_count_own_f,ec98_count_all
2,1,3875.0,143179.0
2,2,10209.0,233583.0
2,3,11143.763870479077,212309.0776368112
2,4,13175.0,358908.0
2,5,8602.0,332038.0
2,6,13185.963474622007,331365.3901941522
2,7,9508.0,308026.0
2,8,9089.0,313131.0
2,9,13282.0,214721.0
2,10,17692.0,431927.0
2,11,6127.644172627947,147553.5199421334
2,12,14454.199479600078,294969.9257915003
2,13,9720.100123609394,191579.04921901337
2,14,38070.0,381881.0
2,15,4080.5849156461277,91591.74025931444
2,16,13930.0,546157.0
2,17,11014.37231968811,122850.67446393763
2,18,38937.0,177119.0
2,19,2901.4438129959253,90462.68871970834
2,20,21642.8532596176,215631.264915918
2,21,13399.043265980621,204537.2781491775
2,22,6766.843538209862,166367.92155420198
2,23,10144.0,319346.0
3,1,2.0,276.0
3,2,73.0,2592.0
3,3,28.0,2761.0
3,4,51.0,7594.828947401976
3,5,33.0,2378.0
3,6,11.0,3831.0
3,7,47.0,7635.0
3,8,209.0,1622.0
3,9,36.0,6440.0
3,10,0.0,175.0
3,11,9.0,3052.0
4,1,707.0,62563.0
4,2,254.0,26603.0
4,3,641.0,38552.0
4,4,837.0,38993.0
4,5,998.0,72052.0
4,6,989.0,61533.0
4,7,7627.0,284325.0
4,8,2637.0,77561.0
4,9,1067.0,77220.0
4,10,504.0,50759.0
4,11,792.0,16427.0
4,12,626.0,31164.0
4,13,1069.0,128833.0
4,14,1088.0,63306.0
4,15,3750.0,85175.0
4,16,2029.0,83261.0
4,17,3577.0,93792.0
4,18,11513.0,121740.0
4,19,1539.0,35294.0
4,20,118.0,16838.0
4,21,289.0,57320.0
4,22,366.0,38727.0
4,23,2912.4385274103524,68150.57737594617
5,1,26.0,296454.0483225449
5,2,793.0,68302.0
5,3,878.0,63195.0
5,4,394.0,68475.24462365592
5,5,98.0,26870.0
5,6,278.84112071134973,23229.555070883314
5,7,894.0,86657.24462365592
5,8,133.0,27240.256690187725
5,9,1916.0,68479.0
5,10,16.0,56976.0
5,11,17.0,32994.0
5,12,603.0,74031.0
5,13,157.0,53143.17665433621
5,14,307.0,39302.0
5,15,538.0,90523.8823733407
5,16,320.0,64075.0
5,17,3.0,36258.6819121118
5,18,654.0,74186.0
5,19,485.0,56539.363178863496
