Model,Variable,Coefficient,Std_Error,P_Value,CI_Lower,CI_Upper,N,R2,Adj_R2,F_Stat,F_PVal,AIC,BIC
State_FEs,Intercept,70.6957594005906,2.0598773985619454,3.898515219822669e-258,66.65847388684114,74.73304491434007,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,C(state_clean)[T.arunachal pradesh],10.380660492741498,2.9816085999288457,0.0004984950585016995,4.536815020886066,16.22450596459693,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,C(state_clean)[T.assam],3.616782499177101,1.574671995605349,0.021627432271752615,0.530482100326803,6.703082898027399,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,C(state_clean)[T.bihar],-14.003586855682435,1.656805861075673,2.859643703342485e-17,-17.25086667276563,-10.756307038599244,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,C(state_clean)[T.chandigarh],-8.5643478638008,2.029166170050685,2.436267738216244e-05,-12.54144047574722,-4.587255251854378,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,C(state_clean)[T.dadra nagar haveli],2.489025866227034,2.4609427367649634,0.31181950349825305,-2.3343332658477296,7.3123849983017974,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,C(state_clean)[T.daman diu],-10.59738971070178,10.474516626462739,0.3116668475464638,-31.127065054034734,9.932285632631174,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,C(state_clean)[T.goa],-19.34177908733671,2.770425884711765,2.9200680487876123e-12,-24.771714043209286,-13.911844131464136,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,C(state_clean)[T.gujarat],-23.51478432446804,1.8136914917304223,1.928498930208598e-38,-27.069554327326394,-19.960014321609684,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,C(state_clean)[T.haryana],-8.557042428948197,1.8648242118027514,4.46102426915135e-06,-12.212030721579882,-4.902054136316511,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,C(state_clean)[T.himachal pradesh],-13.544187378954845,2.0402950442313883,3.1721944077326594e-11,-17.54309218348392,-9.545282574425768,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,C(state_clean)[T.karnataka],0.024119532552400742,1.5583796391090174,0.9876513823397244,-3.0302484343418006,3.078487499446602,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,C(state_clean)[T.kerala],6.426553740570681,2.705621543231989,0.017536608181994224,1.123632960040302,11.72947452110106,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,C(state_clean)[T.madhya pradesh],-19.391875119312605,1.501851605914961,3.8527461345356615e-38,-22.33545017702957,-16.44830006159564,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,C(state_clean)[T.maharashtra],-3.649337208761528,1.6852351472701694,0.030351208597966316,-6.952337402892114,-0.3463370146309419,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,C(state_clean)[T.manipur],-0.11449414845524264,1.5437718360350838,0.9408789351769206,-3.14023134743128,2.9112430505207954,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,C(state_clean)[T.meghalaya],-5.566913921957268,4.059435030115396,0.17026528554979525,-13.523260378563714,2.3894325346491776,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,C(state_clean)[T.mizoram],4.104510834713208,3.737997652936591,0.2721823632988659,-3.2218299393377627,11.43085160876418,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,C(state_clean)[T.nagaland],10.450951986862067,3.355080600540452,0.0018396797461618097,3.8751148445737655,17.02678912915037,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,C(state_clean)[T.nct of delhi],-16.642103029792565,2.269583404296823,2.256143120789278e-13,-21.090404762124148,-12.193801297460983,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,C(state_clean)[T.odisha],-15.42518586232342,1.7066964893697743,1.5951051839009243e-19,-18.770249514029125,-12.080122210617716,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,C(state_clean)[T.puducherry],10.35130674063975,4.427661531205045,0.019393879544507536,1.6732496037443934,19.029363877535104,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,C(state_clean)[T.punjab],-10.397753882008331,2.1919063362452413,2.0984587211453114e-06,-14.693811358534145,-6.1016964054825165,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,C(state_clean)[T.rajasthan],-20.563323472436547,1.5524308352118947,4.766170289903724e-40,-23.606031997941297,-17.520614946931797,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,C(state_clean)[T.sikkim],17.187469002778975,1.6874968421894128,2.3091816757573225e-24,13.880035968062655,20.494902037495294,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,C(state_clean)[T.tamil nadu],-9.226134840673483,1.4015276529126195,4.613185941942512e-11,-11.97307856371917,-6.479191117627796,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,C(state_clean)[T.tripura],0.10505615161916818,2.1946506990844212,0.9618204939317929,-4.19638017723195,4.406492480470286,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,C(state_clean)[T.uttar pradesh],-19.504340795510245,1.2956880885256785,3.285899218884112e-51,-22.04384278421812,-16.96483880680237,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,C(state_clean)[T.west bengal],5.113236826929221,2.362828161462003,0.030461858665293672,0.4821787288067032,9.744294925051738,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,EVM_Exposure,-3.1998809377185644,2.354900224396335,0.17420425124247418,-7.815400564720672,1.4156386892835435,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,Lit_Pct,-0.05677138931384559,0.0475726666932159,0.2327278226929147,-0.15001210268107695,0.03646932405338577,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,SC_Pct,-0.022346102171074283,0.07136100333480404,0.7541730487161584,-0.16221109860793287,0.11751889426578431,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,ST_Pct,-0.05573502371919588,0.032396644181230415,0.08536067056602623,-0.1192312795343666,0.007761232095974846,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
State_FEs,Urban_Pct,-0.0725293925680012,0.03627851240554607,0.04558257312977248,-0.14363397029556105,-0.0014248148404413519,426,0.7311551884763883,0.7085228446491454,3800.3900375652906,0.0,2811.3818622419376,2949.232800015096
