Model,Variable,Coefficient,Std_Error,P_Value,CI_Lower,CI_Upper,N,R2,Adj_R2,F_Stat,F_PVal,AIC,BIC
Interaction_Model,Intercept,70.34649616765093,2.1534160783148253,4.537705370506506e-234,66.12587821042439,74.56711412487746,426,0.734083038683774,0.7102186960015486,931.6926944611848,0.0,2810.7170686284903,2956.6768850941876
Interaction_Model,C(state_clean)[T.arunachal pradesh],10.780854895636027,2.9479717991080454,0.00025514319103353485,5.002936341944511,16.558773449327543,426,0.734083038683774,0.7102186960015486,931.6926944611848,0.0,2810.7170686284903,2956.6768850941876
Interaction_Model,C(state_clean)[T.assam],3.982043440718138,1.6295636469353632,0.014540507439403794,0.7881573822090817,7.175929499227195,426,0.734083038683774,0.7102186960015486,931.6926944611848,0.0,2810.7170686284903,2956.6768850941876
Interaction_Model,C(state_clean)[T.bihar],-13.460980743735592,1.8828546715615806,8.725937941614137e-13,-17.151308088119283,-9.7706533993519,426,0.734083038683774,0.7102186960015486,931.6926944611848,0.0,2810.7170686284903,2956.6768850941876
Interaction_Model,C(state_clean)[T.chandigarh],-10.779024046839822,2.4719258601965763,1.2971968410848687e-05,-15.623909705278304,-5.93413838840134,426,0.734083038683774,0.7102186960015486,931.6926944611848,0.0,2810.7170686284903,2956.6768850941876
Interaction_Model,C(state_clean)[T.dadra nagar haveli],3.1750052937995448,2.507604795020416,0.20545917287711646,-1.7398097919004152,8.089820379499505,426,0.734083038683774,0.7102186960015486,931.6926944611848,0.0,2810.7170686284903,2956.6768850941876
Interaction_Model,C(state_clean)[T.daman diu],-10.563977834887066,10.624804202755184,0.320088974213646,-31.38821141507703,10.2602557453029,426,0.734083038683774,0.7102186960015486,931.6926944611848,0.0,2810.7170686284903,2956.6768850941876
Interaction_Model,C(state_clean)[T.goa],-14.953077592921556,3.3152085990541087,6.469071130161522e-06,-21.450767048305096,-8.455388137538016,426,0.734083038683774,0.7102186960015486,931.6926944611848,0.0,2810.7170686284903,2956.6768850941876
Interaction_Model,C(state_clean)[T.gujarat],-23.15646583704667,1.8330460080489783,1.3927058498884557e-36,-26.749169994827586,-19.563761679265756,426,0.734083038683774,0.7102186960015486,931.6926944611848,0.0,2810.7170686284903,2956.6768850941876
Interaction_Model,C(state_clean)[T.haryana],-8.925268742460256,1.9461296346051713,4.514650513041256e-06,-12.739612735532488,-5.110924749388024,426,0.734083038683774,0.7102186960015486,931.6926944611848,0.0,2810.7170686284903,2956.6768850941876
Interaction_Model,C(state_clean)[T.himachal pradesh],-13.2716850511487,2.0847406642132476,1.9388443343730981e-10,-17.357701670112775,-9.185668432184624,426,0.734083038683774,0.7102186960015486,931.6926944611848,0.0,2810.7170686284903,2956.6768850941876
Interaction_Model,C(state_clean)[T.karnataka],0.4142181369863583,1.5973127915820464,0.7953869080971974,-2.7164574065595866,3.544893680532303,426,0.734083038683774,0.7102186960015486,931.6926944611848,0.0,2810.7170686284903,2956.6768850941876
Interaction_Model,C(state_clean)[T.kerala],6.9279570699215824,2.64189174780393,0.008732645134188139,1.7499443931723038,12.105969746670862,426,0.734083038683774,0.7102186960015486,931.6926944611848,0.0,2810.7170686284903,2956.6768850941876
Interaction_Model,C(state_clean)[T.madhya pradesh],-19.27583617602596,1.5502869624102698,1.7146239060823025e-35,-22.314342788052087,-16.23732956399983,426,0.734083038683774,0.7102186960015486,931.6926944611848,0.0,2810.7170686284903,2956.6768850941876
Interaction_Model,C(state_clean)[T.maharashtra],-3.4057933095645105,1.728392753076689,0.048781400394671416,-6.793380856734851,-0.0182057623941696,426,0.734083038683774,0.7102186960015486,931.6926944611848,0.0,2810.7170686284903,2956.6768850941876
Interaction_Model,C(state_clean)[T.manipur],-0.7136311640978276,1.6737578076725421,0.6698421548386093,-3.994136185978729,2.5668738577830736,426,0.734083038683774,0.7102186960015486,931.6926944611848,0.0,2810.7170686284903,2956.6768850941876
