pc91_state_id,pc91_district_id,state_clean,alloc_electors_f,alloc_voters_f,alloc_treated_electors_f,Female_Turnout_Dist,EVM_Exposure,Lit_Pct,SC_Pct,ST_Pct,Urban_Pct,Fem_Enterprise_Pct,Agency_IHS,Agency_Centered
2,1,andhra pradesh,879207.1872039224,597402.3349595037,0.0,67.9478447917809,0.0,30.122291640694055,9.331289171911877,5.782937837850663,10.680125117173327,2.706402475223322,1.7212732073144863,0.22354669057984267
2,2,andhra pradesh,985035.970671597,658245.5047035258,0.0,66.82451446465801,0.0,28.755933818351608,10.44290342847056,8.995630659785556,14.794781466557087,4.370609162481859,2.180887358958984,0.6831608422243405
2,3,andhra pradesh,919047.5913839664,628341.0155386465,0.0,68.36871359321518,0.0,38.43667838234694,7.823520562937321,14.266403728716734,34.26407114915781,5.2488400376088835,2.360107510094294,0.8623809933596505
2,4,andhra pradesh,1632613.8611903822,1135228.5516946772,8693.749590464762,69.53441831413534,0.0053250494787088955,40.835396190865026,18.19095707560684,3.873393509095181,20.33756210869294,3.670857155594191,2.0116289864439967,0.513902469709353
2,5,andhra pradesh,1107398.7949167786,778807.9967696797,0.0,70.32769047109242,0.0,45.14271466087853,17.765549351333558,2.4202402544911985,18.0537019173593,2.590667333257037,1.6803876637900732,0.18266114705542957
2,6,andhra pradesh,1506321.7442669864,1011759.1893541182,0.0,67.1675353027892,0.0,45.02958095161366,16.579012894066857,2.480971701074366,30.712038094177274,3.9792820447832966,2.0896754187684636,0.59194890203382
2,7,andhra pradesh,1261207.147207704,805286.2153285932,0.0,63.850432271295496,0.0,39.453722779090036,13.961702936864606,4.421427908796667,24.813787390744434,3.0867524170037597,1.8455287443259019,0.34780222759125823
2,8,andhra pradesh,1124410.8132743014,735918.3789212065,0.0,65.44924419378367,0.0,33.92503386892996,20.029240719840704,3.582749280036069,14.19798591313462,2.9026190316512896,1.7871936353486673,0.28946711861402363
2,9,andhra pradesh,1050158.5677489631,675023.5191996929,0.0,64.27824710763632,0.0,40.58129133120982,21.85460610468762,8.948107647162097,20.384364575756816,6.185701445131123,2.521858213820905,1.0241316970862613
2,10,andhra pradesh,1180639.2005196714,804850.3757786845,0.0,68.17073119581501,0.0,42.41987462692428,18.384134218897266,3.2171337476437323,17.166330407634305,4.096062529084776,2.1177516081614174,0.6200250914267738
2,11,andhra pradesh,862918.375419078,570214.0148753565,0.0,66.07971635769499,0.0,40.821133016634406,14.90182642059222,2.0907773234399096,20.44926092560574,4.152828190768372,2.13112748096016,0.6334009642255163
