st_name,pc_name,pc_code,pc91_state_id,pc91_district_id,state_clean,district_clean,pc_weight_relative,dist_weight_relative,pc_weight_absolute,Constituency Clean
AN,Andaman & Nicobar Islands,U0101,27,1,andaman nicobar islands,south andaman,0.5019995862269003,0.5019995862269003,0.1086156614004233,andaman & nicobar islands
AN,Andaman & Nicobar Islands,U0101,27,1,andaman nicobar islands,south andaman,0.4980004137730997,0.4980004137730997,0.1077503763025037,andaman & nicobar islands
AP,Adilabad,S0135,2,19,andhra pradesh,adilabad,0.8880019937796324,0.7501758541417229,0.887166517511579,adilabad
AP,Adilabad,S0135,14,29,maharashtra,chandrapur,0.0470303824775612,0.0543945318297792,0.0469861339638048,adilabad
AP,Adilabad,S0135,14,19,maharashtra,nanded,0.0425813807239007,0.0525566496782588,0.0425413180514011,adilabad
AP,Adilabad,S0135,14,25,maharashtra,yavatmal,0.0136484804346456,0.0134108347497678,0.0136356392680965,adilabad
AP,Adilabad,S0135,14,30,maharashtra,gadchiroli,0.0087377625842598,0.0075934185746401,0.008729541664345,adilabad
AP,Amalapuram,S0109,2,4,andhra pradesh,east godavari,0.8826829782636026,0.1821877326511255,0.8726977713052719,amalapuram
AP,Amalapuram,S0109,2,5,andhra pradesh,west godavari,0.0641735778945053,0.0167965749172782,0.0634476247807455,amalapuram
AP,Amalapuram,S0109,33,4,puducherry,yanam,0.0531434438418919,0.8640095601059357,0.0525422673172425,amalapuram
AP,Anakapalli,S0106,2,3,andhra pradesh,visakhapatnam,0.960077504465256,0.3755291921316055,0.9600775044652564,anakapalli
AP,Anakapalli,S0106,2,2,andhra pradesh,vizianagaram,0.0324755017139909,0.0213153017719363,0.032475501713991,anakapalli
AP,Anakapalli,S0106,2,4,andhra pradesh,east godavari,0.0074469938207529,0.0031346378785479,0.0074469938207529,anakapalli
AP,Anantapur,S0125,2,12,andhra pradesh,anantapur,0.9282627237193888,0.5022450658719976,0.923739459300581,anantapur
AP,Anantapur,S0125,11,8,karnataka,chitradurga,0.0519054461885807,0.0485285342181343,0.0516525198866966,anantapur
AP,Anantapur,S0125,11,19,karnataka,tumkur,0.0198318300920306,0.0195552305221549,0.0197351929987563,anantapur
AP,Bapatla,S0116,2,8,andhra pradesh,prakasam,0.5884063359537428,0.1292519715015669,0.5813687195915938,bapatla
AP,Bapatla,S0116,2,7,andhra pradesh,guntur,0.3729379692724947,0.1288577673750112,0.3684774558581302,bapatla
AP,Bapatla,S0116,2,6,andhra pradesh,krishna,0.0386556947737624,0.0174591239534504,0.0381933544939129,bapatla
AP,Bhadrachalam,S0105,2,22,andhra pradesh,khammam,0.3651380817276023,0.4365480874661171,0.3651363044243413,bhadrachalam
AP,Bhadrachalam,S0105,2,3,andhra pradesh,visakhapatnam,0.2711353166944922,0.493353145157779,0.2711339969480548,bhadrachalam
AP,Bhadrachalam,S0105,2,4,andhra pradesh,east godavari,0.1883034600678329,0.3687220297839897,0.1883025435040167,bhadrachalam
AP,Bhadrachalam,S0105,2,5,andhra pradesh,west godavari,0.1080955593329813,0.268410028026658,0.1080950331797267,bhadrachalam
AP,Bhadrachalam,S0105,19,11,odisha,koraput,0.0356930417365042,0.0261752428631539,0.0356928680012445,bhadrachalam
AP,Bhadrachalam,S0105,13,45,madhya pradesh,bastar,0.0219894045083332,0.0107748473651168,0.0219892974752893,bhadrachalam
AP,Bhadrachalam,S0105,2,21,andhra pradesh,warangal,0.0096451359322535,0.014607700408354,0.0096450889847222,bhadrachalam
AP,Bobbili,S0103,2,2,andhra pradesh,vizianagaram,0.6817121322360261,0.3514980335794284,0.6681708434285103,bobbili
AP,Bobbili,S0103,2,1,andhra pradesh,srikakulam,0.3128779063578893,0.2063698467879204,0.3066630102292457,bobbili
AP,Bobbili,S0103,2,3,andhra pradesh,visakhapatnam,0.0054099614060845,0.0016623322723873,0.0053024998451511,bobbili
AP,Chittoor,S0121,2,10,andhra pradesh,chittoor,0.9277102609708112,0.437020370139222,0.9240037497295188,chittoor
AP,Chittoor,S0121,11,14,karnataka,kolar,0.0254488058227174,0.0220384991736853,0.0253471293739082,chittoor
AP,Chittoor,S0121,23,4,tamil nadu,dharmapuri,0.020598408726248,0.0157737472843168,0.0205161112280866,chittoor
AP,Chittoor,S0121,23,3,tamil nadu,vellore,0.0195770192818263,0.0239169989124857,0.0194988025744212,chittoor
AP,Chittoor,S0121,23,13,tamil nadu,nagapattinam,0.0066655051983967,0.0032481776581872,0.0066388742868006,chittoor
AP,Cuddapah,S0123,2,11,andhra pradesh,ysr kadapa,0.97823364870975,0.594429374510046,0.973187117807269,cuddapah
AP,Cuddapah,S0123,2,12,andhra pradesh,anantapur,0.02176635129025,0.0109007337149815,0.0216540626109908,cuddapah
AP,Eluru,S0111,2,5,andhra pradesh,west godavari,0.8485160413560533,0.4856851489756704,0.8446703877864604,eluru
AP,Eluru,S0111,2,6,andhra pradesh,krishna,0.143336241107262,0.0752329139025296,0.1426866110467799,eluru
AP,Eluru,S0111,2,22,andhra pradesh,khammam,0.0081477175366846,0.0022455090379939,0.0081107903632408,eluru
AP,Guntur,S0115,2,7,andhra pradesh,guntur,0.9294504494381808,0.3101798282771781,0.9294504494381822,guntur
AP,Guntur,S0115,2,6,andhra pradesh,krishna,0.0571637312202073,0.0249369217311973,0.0571637312202074,guntur
AP,Guntur,S0115,2,23,andhra pradesh,nalgonda,0.013385819341612,0.0034691744529606,0.013385819341612,guntur
AP,Hanamkonda,S0138,2,21,andhra pradesh,warangal,0.7836908843706926,0.3343135305758133,0.7800355788976918,hanamkonda
AP,Hanamkonda,S0138,2,20,andhra pradesh,karimnagar,0.1965460688539779,0.0923862029352522,0.1956293350556058,hanamkonda
AP,Hanamkonda,S0138,2,17,andhra pradesh,medak,0.0197630467753295,0.0108018451086679,0.0196708676081582,hanamkonda
AP,Hindupur,S0124,2,12,andhra pradesh,anantapur,0.874491344311355,0.4214363607442891,0.8723337945016645,hindupur
AP,Hindupur,S0124,11,19,karnataka,tumkur,0.0693156407682721,0.060878383058545,0.0691446248416754,hindupur
AP,Hindupur,S0124,11,14,karnataka,kolar,0.0365858007612012,0.0395543813925531,0.0364955360742112,hindupur
AP,Hindupur,S0124,2,10,andhra pradesh,chittoor,0.0131325493237467,0.007723351225721,0.0131001486264974,hindupur
AP,Hindupur,S0124,2,11,andhra pradesh,ysr kadapa,0.0064746648354247,0.0037860064376661,0.006458690507063,hindupur
AP,Hyderabad,S0130,2,15,andhra pradesh,rangareddy,0.8695945020430039,0.5859664343170263,0.8666138811730086,hyderabad
AP,Hyderabad,S0130,2,17,andhra pradesh,medak,0.0657628007507834,0.0315960822446894,0.0655373922690985,hyderabad
AP,Hyderabad,S0130,11,11,karnataka,gulbarga,0.0398341015523,0.0120185188209191,0.0396975662428594,hyderabad
AP,Hyderabad,S0130,2,16,andhra pradesh,hyderabad,0.0248085956539125,0.3408905973377482,0.0247235617469736,hyderabad
AP,Kakinada,S0107,2,4,andhra pradesh,east godavari,0.9224718864780428,0.2495161605062575,0.9224718864780432,kakinada
AP,Kakinada,S0107,2,3,andhra pradesh,visakhapatnam,0.0775281135219573,0.0194865870294502,0.0775281135219573,kakinada
AP,Karimnagar,S0137,2,20,andhra pradesh,karimnagar,0.9379045406614058,0.437399938775475,0.9335767300915444,karimnagar
AP,Karimnagar,S0137,2,18,andhra pradesh,nizamabad,0.0354048296059195,0.0245480298906002,0.035241459679504,karimnagar
AP,Karimnagar,S0137,2,19,andhra pradesh,adilabad,0.0266906297326746,0.0091936949674426,0.0265674700885258,karimnagar
AP,Khammam,S0140,2,22,andhra pradesh,khammam,0.9412827335509938,0.5191946412104416,0.936613811255228,khammam
AP,Khammam,S0140,2,21,andhra pradesh,warangal,0.0517302082110511,0.0361453867330619,0.0514736175886246,khammam
AP,Khammam,S0140,2,6,andhra pradesh,krishna,0.0069870582379551,0.0073396863477447,0.006952401241894,khammam
AP,Kurnool,S0126,2,13,andhra pradesh,kurnool,0.9069259584392648,0.4453705840068042,0.9051165428689056,kurnool
AP,Kurnool,S0126,2,12,andhra pradesh,anantapur,0.0532331370603996,0.0238632402665135,0.0531269311831063,kurnool
AP,Kurnool,S0126,11,4,karnataka,bellary,0.0398409045003355,0.0331287012889448,0.0397614175783114,kurnool
AP,Machilipatnam,S0112,2,6,andhra pradesh,krishna,0.9493409054607996,0.3135125845121129,0.9481585678483516,machilipatnam
AP,Machilipatnam,S0112,2,5,andhra pradesh,west godavari,0.0506590945392005,0.0182445477346468,0.0505960021847663,machilipatnam
AP,Mahabubnagar,S0129,2,14,andhra pradesh,mahbubnagar,0.926260216607662,0.4421492275305879,0.921826335294773,mahabubnagar
AP,Mahabubnagar,S0129,2,13,andhra pradesh,kurnool,0.0308170930051349,0.0153688004036453,0.0306695757844413,mahabubnagar
AP,Mahabubnagar,S0129,11,11,karnataka,gulbarga,0.022434402241346,0.0122042632303876,0.0223270118179204,mahabubnagar
AP,Mahabubnagar,S0129,11,17,karnataka,raichur,0.0204882881458569,0.0128181174719829,0.0203902135051521,mahabubnagar
AP,Medak,S0133,2,17,andhra pradesh,medak,0.6710155384427411,0.4725874751929884,0.6669223100804137,medak
AP,Medak,S0133,2,18,andhra pradesh,nizamabad,0.30128135600752,0.2713030351162807,0.2994435246596612,medak
AP,Medak,S0133,11,5,karnataka,bidar,0.0277031055497388,0.0360457917215976,0.0275341152196133,medak
AP,Miryalguda,S0142,2,23,andhra pradesh,nalgonda,0.9737247933274816,0.5180824913195383,0.970510308933872,miryalguda
AP,Miryalguda,S0142,2,21,andhra pradesh,warangal,0.0203665210988804,0.0121323838788588,0.0202992866352279,miryalguda
AP,Miryalguda,S0142,2,22,andhra pradesh,khammam,0.0059086855736378,0.0027785718496042,0.0058891796745446,miryalguda
AP,Nagarkurnool,S0128,2,14,andhra pradesh,mahbubnagar,0.8640807230828124,0.5402403853615043,0.8601504481403672,nagarkurnool
AP,Nagarkurnool,S0128,2,15,andhra pradesh,rangareddy,0.103939319102974,0.1653993636190244,0.1034665506561237,nagarkurnool
AP,Nagarkurnool,S0128,2,13,andhra pradesh,kurnool,0.0245600710874753,0.0160426013449111,0.0244483594968783,nagarkurnool
AP,Nagarkurnool,S0128,2,8,andhra pradesh,prakasam,0.007419886726738,0.0048043948654238,0.0073861373395583,nagarkurnool
AP,Nalgonda,S0141,2,23,andhra pradesh,nalgonda,0.7709426458846562,0.4622264650154579,0.7640755093752613,nalgonda
