st_name,pc_name,pc_code,pc_total_pop_1991,pc_literate_males_1991
JH,Giridih,S2706,2362315,587320
JH,Godda,S2703,1069111,226907
JH,Hazaribagh,S2714,2773220,603936
JH,Jamshedpur,S2709,2909455,950800
JH,Khunti,S2711,1631138,397444
JH,Kodarma,S2705,2390300,521817
JH,Lohardaga,S2712,1515446,329057
JH,Palamu,S2713,2450548,445889
JH,Rajmahal,S2701,1516426,270921
JH,Ranchi,S2708,2146034,563986
JH,Singhbhum,S2710,1775236,412633
JK,Ladakh,S0904,31294,10770
JK,Udhampur,S0905,395955,99372
KA,Bagalkot,S1027,2565009,492037
KA,Bangalore North,S1012,3294274,1146355
KA,Bangalore South,S1013,4145759,1509314
KA,Belgaum,S1025,3570677,1015660
KA,Bellary,S1005,1952545,478172
KA,Bidar,S1001,1746382,405898
KA,Bijapur,S1028,2283937,327000
KA,Chamarajanagar,S1015,3083575,778282
KA,Chikballapur,S1009,2236017,637953
KA,Chikkodi,S1026,3460315,979060
KA,Chikmagalur,S1020,1607416,528900
KA,Chitradurga,S1007,2241609,637392
KA,Davangere,S1006,2074321,608316
KA,Dharwad North,S1024,3291685,1002540
KA,Dharwad South,S1023,3276736,994646
KA,Gulbarga,S1002,2572519,538580
KA,Hassan,S1019,1621261,466344
KA,Kanakapura,S1011,2311885,682295
KA,Kanara,S1022,1567039,492693
KA,Kolar,S1010,2240728,597817
KA,Koppal,S1004,2447385,554498
KA,Mandya,S1014,1920970,486384
KA,Mangalore,S1017,1176329,414434
KA,Mysore,S1016,2792261,690567
KA,Raichur,S1003,2416508,490030
KA,Shimoga,S1021,1892861,591252
KA,Tumkur,S1008,2186401,625013
KA,Udupi,S1018,2672284,932158
KL,Adoor,S1117,1954509,784126
KL,Alleppey,S1115,1950515,818036
KL,Badagara,S1103,2571779,1046672
KL,Calicut,S1104,1878355,724675
KL,Cannanore,S1102,1634123,653393
KL,Chirayinkil,S1119,2945752,1165115
KL,Ernakulam,S1111,2753035,1164325
KL,Idukki,S1114,1195597,474783
KL,Kasaragod,S1101,1668858,653653
KL,Kottayam,S1113,1724113,739131
KL,Manjeri,S1105,2926802,1061918
KL,Mavelikara,S1116,1782833,732595
KL,Mukundapuram,S1110,2616886,1081907
KL,Muvattupuzha,S1112,2083513,885491
KL,Ottapalam,S1108,2630369,1005608
KL,Palghat,S1107,2441045,887670
KL,Ponnani,S1106,2813761,1027443
KL,Quilon,S1118,2466414,993059
KL,Trichur,S1109,2737311,1069562
KL,Trivandrum,S1120,2801954,1105188
ML,Shillong,S1501,430846,102276
ML,Tura,S1502,384085,73487
MN,Inner Manipur,S1401,353194,112961
MN,Outer Manipur,S1402,159684,47141
MP,Balaghat,S1212,1364959,374546
MP,Betul,S1217,1212001,299672
MP,Bhind,S1202,1142542,331780
MP,Bhopal,S1219,1055919,289698
MP,Chhindwara,S1216,1533575,360439
MP,Damoh,S1207,907006,203954
MP,Dhar,S1225,1488121,290784
MP,Guna,S1204,1222619,254267
MP,Gwalior,S1203,1302576,384756
MP,Hoshangabad,S1218,1053760,290461
MP,Indore,S1226,1748834,578034
MP,Jabalpur,S1214,2461642,750699
MP,Jhabua,S1228,1193298,194528
MP,Khajuraho,S1206,1071791,226491
MP,Khandwa,S1223,1373591,334094
MP,Khargone,S1224,1998024,398282
MP,Mandla,S1213,1321628,289441
MP,Mandsaur,S1229,1502800,412961
MP,Morena,S1201,1676713,420595
MP,Rajgarh,S1221,1099430,229153
MP,Rewa,S1209,1669989,413226
MP,Sagar,S1205,1594270,450280
MP,Satna,S1208,1738581,462835
MP,Seoni,S1215,1483540,413056
MP,Shahdol,S1211,1751500,352927
MP,Shajapur,S1222,1034315,250876
MP,Sidhi,S1210,1372064,245161
MP,Ujjain,S1227,1297375,347883
MP,Vidisha,S1220,930120,223928
MS,Ahmednagar,S1339,3438418,1095254
MS,Akola,S1319,2118540,688588
MS,Amravati,S1321,2115321,704376
MS,Aurangabad,S1333,1763702,479359
MS,Baramati,S1343,5166375,1814683
MS,Beed,S1334,1896992,523152
MS,Bhandara,S1324,2089262,691432
MS,Buldhana,S1318,1905249,598149
MS,Chandrapur,S1326,1192155,327776
MS,Chimur,S1325,1623918,502058
MS,Dahanu,S1311,5027444,1719505
MS,Dhule,S1314,3013479,868324
MS,Erandol,S1316,3135667,1012407
MS,Hingoli,S1329,2216946,583731
MS,Ichalkaranji,S1347,2483863,842790
MS,Jalgaon,S1317,3066652,993354
MS,Jalna,S1332,1553277,412417
MS,Karad,S1345,2383476,782619
MS,Khed,S1341,5061764,1768277
MS,Kolaba,S1303,1769748,417603
MS,Kolhapur,S1348,2898437,976769
MS,Kopargaon,S1340,3531692,1129162
MS,Latur,S1335,1590981,456630
MS,Malegaon,S1313,3752276,1166311
MS,Mumbai North,S1309,9925891,4183991
MS,Mumbai North Central,S1306,9925891,4183991
MS,Mumbai North East,S1307,9925891,4183991
MS,Mumbai North West,S1308,9925891,4183991
MS,Mumbai South Central,S1305,9925891,4183991
MS,Nagpur,S1323,3287139,1180437
MS,Nanded,S1330,2169877,577594
MS,Nandurbar,S1315,2515343,672620
MS,Nashik,S1312,3843769,1218612
MS,Osmanabad,S1336,2233512,667235
MS,Pandharpur,S1338,2951604,894477
MS,Parbhani,S1331,1936024,507368
MS,Pune,S1342,5532532,1958169
MS,Rajapur,S1301,1059396,341688
MS,Ramtek,S1322,3043714,1075755
MS,Ratnagiri,S1302,1577536,440548
MS,Sangli,S1346,2314941,730436
MS,Satara,S1344,2440859,804364
MS,Solapur,S1337,3172720,929778
MS,Thane,S1310,5005876,1740539
MS,Wardha,S1327,1457763,495713
MS,Washim,S1320,2168775,685229
MS,Yavatmal,S1328,2080595,620592
MZ,Mizoram,S1601,336258,126602
NL,Nagaland,S1701,194508,55934
OD,Aska,S1810,3148470,806173
OD,Balasore,S1802,3154149,949086
OD,Berhampur,S1811,3091818,764504
OD,Bhadrak,S1803,2817285,855730
OD,Bhubaneswar,S1809,3715039,1240116
OD,Bolangir,S1816,1725315,405918
OD,Cuttack,S1806,5383196,1745905
OD,Deogarh,S1818,2402440,673349
OD,Dhenkanal,S1819,2208818,653760
OD,Jagatsinghpur,S1807,4978820,1625356
OD,Jajpur,S1804,5214058,1682951
OD,Kalahandi,S1814,1590144,301138
OD,Kendrapara,S1805,5484155,1776674
OD,Keonjhar,S1821,1576365,383814
OD,Koraput,S1812,2909967,393332
OD,Mayurbhanj,S1801,2157989,514569
OD,Nowrangpur,S1813,2949113,410662
OD,Phulbani,S1815,1259695,308976
OD,Puri,S1808,3625392,1207628
OD,Sambalpur,S1817,2690285,742535
OD,Sundargarh,S1820,1601885,442524
PB,Amritsar,S1902,2043716,607239
PB,Bhatinda,S1911,1602541,367970
PB,Faridkot,S1912,1689135,426588
PB,Ferozepur,S1913,1658709,426505
PB,Gurdaspur,S1901,1569451,487145
PB,Hoshiarpur,S1906,1082646,374485
PB,Jullundur,S1904,1335337,437984
PB,Ludhiana,S1909,1641606,562681
PB,Patiala,S1908,1689603,474128
PB,Phillaur,S1905,1615874,544797
PB,Ropar,S1907,1352828,428773
PB,Sangrur,S1910,1659862,434721
PB,Tarn Taran,S1903,2424171,702014
PY,Puducherry,U0701,2837627,834912
RJ,Ajmer,S2012,1858079,520800
RJ,Alwar,S2008,2169021,563204
RJ,Banswara,S2016,1109022,187595
RJ,Barmer,S2023,928736,170597
RJ,Bayana,S2010,1455710,371803
RJ,Bharatpur,S2009,1927190,506627
RJ,Bhilwara,S2020,1593244,320980
RJ,Bikaner,S2002,1609189,373623
RJ,Chittorgarh,S2019,1585904,363273
RJ,Churu,S2003,1630658,346357
RJ,Dausa,S2007,4305480,1178171
RJ,Ganganagar,S2001,2254568,543119
RJ,Jaipur,S2006,4722551,1298914
RJ,Jalore,S2022,1042434,173145
RJ,Jhalawar,S2015,1479917,369206
RJ,Jhunjhunu,S2004,1556514,422106
RJ,Jodhpur,S2024,2045405,488310
RJ,Kota,S2014,1321012,325748
RJ,Nagaur,S2025,2112229,431314
RJ,Pali,S2021,1551319,347250
RJ,Salumber,S2017,2438977,500777
RJ,Sawai Madhopur,S2011,2025817,480976
RJ,Sikar,S2005,1981980,516498
RJ,Tonk,S2013,2067901,530018
RJ,Udaipur,S2018,2728174,561441
SK,Sikkim,S2101,126266,36876
TN,Arakkonam,S2206,3117677,980328
TN,Chengalpattu,S2205,4468649,1493525
TN,Chidambaram,S2212,4831513,1377313
TN,Coimbatore,S2220,3489516,1218226
TN,Cuddalore,S2211,4845071,1370754
TN,Dharmapuri,S2213,2903580,777292
TN,Dindigul,S2223,2768357,916094
TN,Gobichettipalayam,S2219,4000328,1289777
TN,Karur,S2226,3955342,1269648
TN,Krishnagiri,S2214,2453066,608397
TN,Madras Central,S2202,3682120,1252250
TN,Madras North,S2201,4445947,1493282
TN,Madras South,S2203,4531457,1520266
TN,Madurai,S2224,3146035,1073193
TN,Mayiladuturai,S2229,4532114,1517017
TN,Nagapattinam,S2230,4512463,1513978
TN,Nagercoil,S2239,1600746,601890
TN,Nilgiris,S2218,2363810,833456
TN,Palani,S2222,2600905,821037
TN,Perambalur,S2228,4131158,1327347
TN,Periyakulam,S2225,3161955,1068013
TN,Pollachi,S2221,3375085,1160231
TN,Pudukkottai,S2232,2090126,672091
TN,Ramanathapuram,S2234,1887024,604078
TN,Rasipuram,S2215,4016616,1170102
TN,Salem,S2216,3901224,1135202
TN,Sivaganga,S2233,1153575,370484
TN,Sivakasi,S2235,3798120,1241277
TN,Sriperumbudur,S2204,4443145,1480157
TN,Tenkasi,S2237,2476987,818371
TN,Thanjavur,S2231,4356628,1451764
TN,Tindivanam,S2210,4704029,1333000
TN,Tiruchendur,S2238,2544430,861513
TN,Tiruchengode,S2217,3963325,1189763
TN,Tiruchirappalli,S2227,4126906,1327052
TN,Tirunelveli,S2236,3333797,1155404
TN,Tiruppattur,S2208,2539525,756143
TN,Vandavasi,S2209,3126510,892908
TN,Vellore,S2207,2900148,896092
TR,Tripura East,S2302,725028,215521
TR,Tripura West,S2301,899175,255414
UK,Almora,S2803,684840,216628
UK,Garhwal,S2802,532244,175388
UK,Hardwar,S2805,1122216,302788
UK,Nainital,S2804,1505177,445518
UK,Tehri Garhwal,S2801,479650,150807
UP,Agra,S2469,2631890,723950
UP,Akbarpur,S2423,2479507,480507
UP,Aligarh,S2472,3246960,847587
UP,Allahabad,S2452,4847228,1221886
UP,Amethi,S2421,2451100,550733
UP,Amroha,S2402,3552013,667344
UP,Aonla,S2407,2659365,475175
UP,Azamgarh,S2441,3138425,681536
UP,Baghpat,S2477,3156088,883989
UP,Bahraich,S2427,2767254,435294
UP,Ballia,S2439,2338277,587834
UP,Balrampur,S2428,3473717,597741
UP,Banda,S2455,1903490,431508
UP,Bansgaon,S2433,2962154,733918
UP,Bara Banki,S2425,2433803,468317
UP,Bareilly,S2408,2703664,519219
UP,Basti,S2430,3007951,592947
UP,Bijnor,S2401,2272275,513381
UP,Bilhaur,S2460,2143552,593473
UP,Budaun,S2406,2353962,375486
UP,Bulandshahr,S2474,2923154,746800
UP,Chail,S2453,4099929,1029606
UP,Chandauli,S2447,4615540,1229805
UP,Deoria,S2437,4384099,968512
UP,Domariaganj,S2431,1894819,343167
UP,Etah,S2467,1644710,404461
UP,Etawah,S2462,2104075,615283
UP,Faizabad,S2424,2459384,470467
UP,Farrukhabad,S2464,2225494,573826
UP,Fatehpur,S2454,1951007,484619
UP,Firozabad,S2468,2288518,623144
UP,Ghatampur,S2459,2088692,572341
UP,Ghazipur,S2446,2420020,596151
UP,Ghosi,S2440,1765591,413095
UP,Gonda,S2429,3510617,608306
UP,Gorakhpur,S2434,2930455,713634
UP,Hamirpur,S2456,462163,146463
UP,Hapur,S2475,3033455,829045
UP,Hardoi,S2415,2739957,608899
UP,Hathras,S2471,3162796,810934
UP,Jalaun,S2458,1286178,377695
UP,Jalesar,S2466,2073819,554937
UP,Jaunpur,S2444,3325235,811867
UP,Jhansi,S2457,1015501,248868
UP,Kairana,S2479,2786526,678778
UP,Kaiserganj,S2426,2667502,454565
UP,Kannauj,S2463,2308915,630063
UP,Kanpur,S2461,2143312,585537
UP,Khalilabad,S2432,2748786,595664
UP,Kheri,S2411,2385347,431014
UP,Khurja,S2473,2894623,792905
UP,Lalganj,S2442,2688785,597832
UP,Lucknow,S2416,2748456,809753
UP,Machhlishahr,S2443,3143224,730176
UP,Maharajganj,S2435,1870459,380204
UP,Mainpuri,S2465,1417024,388097
UP,Mathura,S2470,2036964,558323
UP,Meerut,S2476,3355844,923511
UP,Mirzapur,S2450,2734925,686627
UP,Misrikh,S2414,2684269,535635
UP,Mohanlalganj,S2417,2494379,662518
UP,Moradabad,S2403,4040172,714365
UP,Muzaffarnagar,S2478,2783770,694510
UP,Padrauna,S2436,4259839,936749
UP,Phulpur,S2451,4810674,1208257
UP,Pilibhit,S2409,1529205,295405
UP,Pratapgarh,S2420,2917592,600674
UP,Rae Bareli,S2419,2321188,515954
UP,Rampur,S2404,2010973,329789
UP,Robertsganj,S2449,1312959,282304
UP,Saharanpur,S2480,2053430,486907
UP,Saidpur,S2445,2686589,661344
UP,Salempur,S2438,3252545,747120
UP,Sambhal,S2405,3569736,612300
UP,Shahabad,S2412,2546332,517203
UP,Shahjahanpur,S2410,1993915,382660
UP,Sitapur,S2413,2665478,514104
UP,Sultanpur,S2422,2576481,589733
UP,Unnao,S2418,2211141,499090
UP,Varanasi,S2448,4431416,1175687
WB,Alipurduars,S2502,2579058,617514
WB,Arambagh,S2528,5192195,1769542
WB,Asansol,S2538,5587974,1751281
WB,Balurghat,S2506,2981431,605018
WB,Bankura,S2535,2518919,691923
WB,Barasat,S2513,7281881,2434721
WB,Barrackpore,S2519,7281881,2434721
WB,Basirhat,S2514,7016500,2301995
WB,Berhampore,S2510,4717553,1069269
WB,Birbhum,S2542,2958319,678931
WB,Bolpur,S2541,4443407,1294079
WB,Burdwan,S2539,5730138,1825339
WB,Calcutta North East,S2522,6556756,2083742
WB,Calcutta North West,S2521,5760017,2000083
WB,Calcutta South,S2523,5588517,1668025
WB,Contai,S2531,8270019,2847787
WB,Cooch Behar,S2501,2164671,522217
WB,Darjeeling,S2504,1696439,448622
WB,Diamond Harbour,S2517,5628264,1662703
WB,Dum Dum,S2520,7018051,2302771
WB,Durgapur,S2537,4025997,1216794
WB,Hooghly,S2527,4963134,1664665
WB,Howrah,S2524,5174055,1939775
WB,Jadavpur,S2518,5558365,1672063
WB,Jalpaiguri,S2503,2624914,631229
WB,Jangipur,S2508,4707918,893042
WB,Jhargram,S2533,8062498,2771460
WB,Joynagar,S2515,6002579,1794898
WB,Katwa,S2540,4940955,1526091
WB,Krishnagar,S2511,3852097,1000807
WB,Malda,S2507,2607899,488373
WB,Mathurapur,S2516,5715030,1651085
WB,Midnapore,S2532,8270019,2847787
WB,Murshidabad,S2509,4601624,915105
WB,Nabadwip,S2512,4893739,1436294
WB,Panskura,S2529,7952470,2738496
WB,Purulia,S2534,2398372,647629
WB,Raiganj,S2505,2897759,578911
WB,Serampore,S2526,4669447,1584481
WB,Tamluk,S2530,7203237,2442878
WB,Uluberia,S2525,4169104,1373760
WB,Vishnupur,S2536,3514556,1067029
