Model,Variable,Coefficient,Std_Error,P_Value,CI_Lower,CI_Upper,N,R2,Adj_R2
1_Final_ANCOVA_HC1,Intercept,38.788172128152475,3.74324818081965,3.6850727717671555e-25,31.451540508550885,46.124803747754065,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,C(state_clean)[T.arunachal pradesh],13.564804712089051,3.463222273714223,8.972614698904298e-05,6.777013785152257,20.352595639025846,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,C(state_clean)[T.assam],-5.1102711817256345,1.4287457743457488,0.0003478881893594935,-7.910561442507094,-2.309980920944176,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,C(state_clean)[T.bihar],-9.112626245031525,1.4743697320128863,6.382093943211055e-10,-12.002337819672753,-6.2229146703902956,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,C(state_clean)[T.chandigarh],-14.303754646414667,1.7613424604374792,4.625905809031092e-16,-17.75592243331329,-10.851586859516043,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,C(state_clean)[T.dadra nagar haveli],0.999981981558153,1.4546306745073818,0.4918008771083727,-1.8510417512835216,3.8510057143998275,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,C(state_clean)[T.daman diu],-2.3952179972208922,3.6093032249918946,0.5069313910215137,-9.469322327489273,4.678886333047489,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,C(state_clean)[T.goa],-12.285274030945446,2.2840209997748384,7.498725529598617e-08,-16.761872930437296,-7.8086751314535965,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,C(state_clean)[T.gujarat],-6.781390578588944,2.2492545109874644,0.0025702136225296264,-11.189848412188624,-2.3729327449892628,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,C(state_clean)[T.haryana],-14.638786064002945,1.5253398623726468,8.225311167967292e-22,-17.628397258436614,-11.649174869569274,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,C(state_clean)[T.himachal pradesh],-10.716160900244406,2.087199697630819,2.833032085521988e-07,-14.806997136143702,-6.62532466434511,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,C(state_clean)[T.karnataka],2.2254473474375454,0.942061116049576,0.0181610867458853,0.3790414887447682,4.0718532061303225,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,C(state_clean)[T.kerala],-0.055551772370088015,1.9506870697570442,0.9772808710303865,-3.8788281742018667,3.767724629461691,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,C(state_clean)[T.madhya pradesh],-11.692887420667455,1.3283223779037516,1.3350587530643974e-18,-14.296351441217412,-9.089423400117498,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,C(state_clean)[T.maharashtra],2.405666275363012,1.3261383475043171,0.0696717688769077,-0.19351712426291234,5.004849674988936,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,C(state_clean)[T.manipur],-7.267518782339638,1.3368344850544123,5.4378829224375145e-08,-9.887666226337435,-4.647371338341841,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,C(state_clean)[T.meghalaya],-9.28966982269258,2.0000076931240667,3.4037796037322974e-06,-13.209612870018788,-5.369726775366374,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,C(state_clean)[T.mizoram],-4.440164278915499,2.1521633517329337,0.03910153627922693,-8.658326937159057,-0.22200162067194018,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,C(state_clean)[T.nagaland],-1.533705472300778,1.841482883136354,0.40492122902189964,-5.142945601395013,2.075534656793457,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,C(state_clean)[T.nct of delhi],-22.43805898506648,2.9970271019662285,7.058809883309645e-14,-28.31212416561074,-16.56399380452222,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,C(state_clean)[T.odisha],-11.951054091032734,1.287026408329556,1.6051531328612322e-20,-14.473579498510606,-9.428528683554863,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,C(state_clean)[T.puducherry],0.11013278623811829,3.9667458966324944,0.9778503680355086,-7.664546306983615,7.884811879459852,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,C(state_clean)[T.punjab],-13.952645336876138,1.6162345569827998,5.986299266240918e-18,-17.120406859131474,-10.784883814620802,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,C(state_clean)[T.rajasthan],-7.32610415153581,1.6610447953641934,1.0311325899692502e-05,-10.581692127157332,-4.070516175914287,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,C(state_clean)[T.sikkim],9.20655053530474,1.6256961293005439,1.4862473032735907e-08,6.020244672069502,12.392856398539976,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,C(state_clean)[T.tamil nadu],-13.73625434072779,1.0286612493868836,1.1297284669906167e-40,-15.752393341818056,-11.720115339637523,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,C(state_clean)[T.tripura],-9.571859284406205,1.6342765808680302,4.714743923925916e-09,-12.774982523684805,-6.368736045127605,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,C(state_clean)[T.uttar pradesh],-10.572527340102416,1.367356607304811,1.0579328563460394e-14,-13.252497044442723,-7.89255763576211,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,C(state_clean)[T.west bengal],-7.173056137115029,2.043330021919183,0.00044730919044565643,-11.177909388606068,-3.168202885623992,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,EVM_Exposure_Cont,-1.6474622104700054,1.5868299573621498,0.29917245045123564,-4.757591776489049,1.462667355549038,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,Agency_Centered,0.6470836183689184,0.4164451264573025,0.12022572448786052,-0.16913383102462287,1.4633010677624596,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,EVM_Post_Agency,-7.2607997696507915,2.210367055556519,0.001020243018456564,-11.593039591155414,-2.9285599481461695,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,Urban_Pct_ihs,-0.9628105250245615,0.5843016597583934,0.09939433382234947,-2.1080207342579893,0.1823996842088662,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,Turnout_96,0.5734348360335909,0.05064644772535409,1.0175349911570935e-29,0.47416962254700634,0.6727000495201755,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,Lit_Pct,-0.06483499495113779,0.03716082444350548,0.08103473871597677,-0.13766887249622423,0.007998882593948639,426,0.8332182146882637,0.8177833965103138
1_Final_ANCOVA_HC1,SC_Pct,0.05693264383226935,0.05281470771111839,0.28104736952049014,-0.04658228113553257,0.16044756880007127,426,0.8332182146882637,0.8177833965103138
