,count,mean,std,min,Median,max
Turnout_99,426.0,56.22848962003442,11.69286475778524,26.825028968713788,55.195176515592806,83.2896258531103
Turnout_96,426.0,54.26516958283213,14.779289453291769,16.273204242731023,53.03140971797012,88.25115716486555
EVM_Exposure_Cont,426.0,0.06571692310691979,0.19196369185983037,0.0,0.0,1.0
Fem_Enterprise_Pct,426.0,3.0829258261226853,5.344271718799206,0.0,2.0563571998952757,84.16626628483768
Agency_Centered,426.0,2.2934184546247366e-16,0.7494729169036646,-1.4977265167346436,-0.029167938304522023,3.628250155974965
Sex_Ratio,426.0,947.7904145347019,32.88743534341634,848.5978456084611,955.6608554274496,1030.0778074555801
Patriarchy_Centered,426.0,-1.3183403247530123e-13,32.88743534341634,-99.19256892624082,7.870440892747695,82.28739292087823
Lit_Pct,426.0,42.13156133771902,13.547417193373938,14.536471441651443,40.00308367398472,85.07557140051995
SC_Pct,426.0,15.254298158282447,8.165317507323806,0.0,16.018013660916573,51.756976157741654
ST_Pct,426.0,13.25209434039808,22.707954907211718,0.0,3.024505229212185,98.1095309256576
Urban_Pct,426.0,18.538215389288656,14.883772855729827,1.5026334287548009,14.775772864918803,100.0
