pc91_state_id,pc91_district_id,state_clean,Lit_Pct,SC_Pct,ST_Pct,Fem_Enterprise_Pct,Urban_Pct,Turnout_96,Turnout_98,Turnout_99,EVM_Exposure_Cont,EVM_Exposure_Binary,ST_Pct_ihs,Fem_Enterprise_Pct_ihs,Urban_Pct_ihs,Agency_Centered,EVM_Post_Agency,EVM_Any,IPW_Interaction,pscore,ipw_weight,ipw_weight_trimmed,Delta_9698,Sex_Ratio,Patriarchy_Centered,Agency_Z,Patriarchy_Z,EVM_Post_Agency_Z,EVM_Post_Patriarchy_Z
2,1,andhra pradesh,30.122291640694055,9.331289171911877,5.782937837850663,2.706402475223322,10.680125117173327,63.46106041348736,66.02737096916943,67.9478447917809,0.0,0,2.45545209738158,1.7212732073144863,3.0637162898692814,0.22354669057984267,0.0,0,0.0,0.05,1.0526315789473684,1.0526315789473684,2.5663105556820653,986.1488653370392,38.3584508023373,0.2982718728561833,1.1663557952084638,0.0,0.0
2,2,andhra pradesh,28.755933818351608,10.44290342847056,8.995630659785556,4.370609162481859,14.794781466557087,60.36963459472905,65.22217232134167,66.82451446465801,0.0,0,2.8929613572439132,2.180887358958984,3.3885618930903534,0.6831608422243405,0.0,0,0.0,0.050426071746180606,1.0531038924361684,1.0531038924361684,4.852537726612624,995.5147589481156,47.724344413413746,0.9115217198864469,1.4511421737532224,0.0,0.0
2,3,andhra pradesh,38.43667838234694,7.823520562937321,14.266403728716734,5.2488400376088835,34.26407114915781,61.695372415912566,66.37541601018762,68.36871359321518,0.0,0,3.352280625575391,2.360107510094294,4.227457371754702,0.8623809933596505,0.0,0,0.0,0.09585046195272079,1.1060117358017258,1.1060117358017258,4.680043594275055,984.5784331252769,36.78801859057501,1.1506499753486072,1.1186040567295106,0.0,0.0
2,4,andhra pradesh,40.835396190865026,18.19095707560684,3.873393509095181,3.670857155594191,20.33756210869294,63.78593975128189,67.31579511738562,69.53441831413534,0.0053250494787088955,0,2.0635396045274685,2.0116289864439967,3.706220584470188,0.513902469709353,0.0027365560784330042,1,0.513902469709353,0.18907902545572738,5.288793918784761,5.288793918784761,3.5298553661037317,993.8148159113726,46.02440137667077,0.6856851770341007,1.3994524320937747,0.0036513074945238545,0.007452153443998851
2,5,andhra pradesh,45.14271466087853,17.765549351333558,2.4202402544911985,2.590667333257037,18.0537019173593,66.89413343999362,68.84881686246473,70.32769047109242,0.0,0,1.6171947774862663,1.6803876637900732,3.5872640770899307,0.18266114705542957,0.0,0,0.0,0.21727877200117474,1.2775940708247928,1.2775940708247928,1.9546834224711063,983.7123327165698,35.92191818186791,0.24371947662907797,1.092268758775653,0.0,0.0
2,6,andhra pradesh,45.02958095161366,16.579012894066857,2.480971701074366,3.9792820447832966,30.712038094177274,64.73504942937946,64.74937318420459,67.1675353027892,0.0,0,1.640140935100701,2.0896754187684636,4.118066820215202,0.59194890203382,0.0,0,0.0,0.28956467695923316,1.4075876685295632,1.4075876685295632,0.014323754825127821,964.0995725560869,16.309158021384974,0.7898202705967928,0.4959084784533028,0.0,0.0
2,7,andhra pradesh,39.453722779090036,13.961702936864606,4.421427908796667,3.0867524170037597,24.813787390744434,57.48899107480231,57.71441738759903,63.850432271295496,0.0,0,2.1921596749266765,1.8455287443259019,3.9049524014112222,0.34780222759125823,0.0,0,0.0,0.16365791288330486,1.1956829811680512,1.1956829811680512,0.22542631279672065,969.5758927132941,21.785478178592257,0.4640624360759441,0.6624255722924116,0.0,0.0
2,8,andhra pradesh,33.92503386892996,20.029240719840704,3.582749280036069,2.9026190316512896,14.19798591313462,60.12765544971237,59.26628878209981,65.44924419378367,0.0,0,1.9882084164977585,1.7871936353486673,3.347485182402941,0.28946711861402363,0.0,0,0.0,0.13776010630620628,1.1597700446404176,1.1597700446404176,-0.8613666676125646,969.1780667349693,21.38765220026744,0.38622759019754016,0.6503289775239036,0.0,0.0
2,9,andhra pradesh,40.58129133120982,21.85460610468762,8.948107647162097,6.185701445131123,20.384364575756816,57.96148389269609,60.127745158169766,64.27824710763632,0.0,0,2.8876970531431594,2.521858213820905,3.708516455323165,1.0241316970862613,0.0,0,0.0,0.17629504709203736,1.214026935821686,1.214026935821686,2.166261265473679,936.652168295939,-11.138246238762918,1.3664692532417428,-0.3386778604794021,0.0,-0.0
2,10,andhra pradesh,42.41987462692428,18.384134218897266,3.2171337476437323,4.096062529084776,17.166330407634305,62.46491801946663,61.65290093229011,68.17073119581501,0.0,0,1.88496172677535,2.1177516081614174,3.536944403452797,0.6200250914267738,0.0,0,0.0,0.18719542867842393,1.230308041174097,1.230308041174097,-0.8120170871765211,969.782663043701,21.99224850899907,0.8272815167068542,0.6687127858816648,0.0,0.0
